recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,timestamp_dev_responded,developer_response
153728877,"{'steamid': '76561198165143132', 'num_games_owned': 0, 'num_reviews': 120, 'playtime_forever': 5, 'playtime_last_two_weeks': 0, 'playtime_at_review': 5, 'last_played': 1702747277}",english,Im still learning this game. I only got it to support this person. they were the maker of buttbot for twitch. so happy now i can play a taco game and think about that.,1702747326,1702747326,True,0,0,0,0,True,False,False,True,,,
146558549,"{'steamid': '76561198843910489', 'num_games_owned': 126, 'num_reviews': 7, 'playtime_forever': 26, 'playtime_last_two_weeks': 0, 'playtime_at_review': 26, 'last_played': 1677720861}",english,Taco tom,1695074807,1695074807,True,0,0,0,0,True,False,False,True,,,
131567304,"{'steamid': '76561199218029196', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 523, 'playtime_last_two_weeks': 0, 'playtime_at_review': 135, 'last_played': 1678858339}",english,"Taco, were it all began. I once loved tacos, but yet I still love tacos. This game represents who I am as a person, a taco but also a person who loves tacos. Taco Tom 2 has just that, but also deep lore that makes you go bazonkerlonkers. Easy buy, just wait for it to go on sale, just like tacos in real life. If you don't enjoy this game then L+Bozo+Ratio. The lore is fantastic and has a heavy amount of good tacos which is all society needs to function. It also doesn't have tacos made by Chase so you should be safe and enjoy the tacos!!!!!!!!!!!!!!",1674708172,1674708172,True,2,0,0.545454561710357666,0,False,False,False,True,,,
120604949,"{'steamid': '76561198208609831', 'num_games_owned': 86, 'num_reviews': 10, 'playtime_forever': 80, 'playtime_last_two_weeks': 0, 'playtime_at_review': 80, 'last_played': 1660469242}",english,tortis,1660469276,1660469276,True,1,0,0.492735326290130615,0,True,False,False,False,,,
117455425,"{'steamid': '76561198126461836', 'num_games_owned': 154, 'num_reviews': 35, 'playtime_forever': 102, 'playtime_last_two_weeks': 0, 'playtime_at_review': 102, 'last_played': 1655986979}",english,"I have never played a better game in my life, the story was absolutely superb.

17/10",1655987045,1655987045,True,1,0,0.523809552192687988,0,False,False,False,False,,,
115311122,"{'steamid': '76561198039737101', 'num_games_owned': 0, 'num_reviews': 6, 'playtime_forever': 73, 'playtime_last_two_weeks': 0, 'playtime_at_review': 73, 'last_played': 1652293685}",english,"A testament to the fallacy that things will get noticed if they are good. This thing is A+ stupid comedy, and I'd have never heard of it if not for the sheer dumb luck of Arin (Game Grumps) mysteriously having it in his game library and deciding on a whim to play it.

The gameplay itself is a passable fun time-killer about on par with a lot of popular mobile games. Support a small developer and drop $5 and you'll get about an hour of gameplay and a few really good laughs.",1652294043,1652294043,True,24,0,0.741260766983032227,0,True,False,False,False,,,
115275479,"{'steamid': '76561198075386483', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 22, 'playtime_last_two_weeks': 0, 'playtime_at_review': 22, 'last_played': 1652224544}",english,"""Neat"" - Game Grumps",1652224891,1652224891,True,198,41,0.931355714797973633,0,True,False,False,False,,,
109741131,"{'steamid': '76561198095890890', 'num_games_owned': 127, 'num_reviews': 14, 'playtime_forever': 149, 'playtime_last_two_weeks': 0, 'playtime_at_review': 149, 'last_played': 1624666763}",english,one of the levels has morse code in it,1644264650,1644264650,True,22,2,0.7156791090965271,0,True,True,False,False,,,
109320180,"{'steamid': '76561198370216706', 'num_games_owned': 0, 'num_reviews': 33, 'playtime_forever': 117, 'playtime_last_two_weeks': 0, 'playtime_at_review': 117, 'last_played': 1643807954}",spanish,"Esta divertido y esta bien hecho, vale la pena",1643808281,1643808281,True,0,0,0,0,True,False,False,False,,,
83682669,"{'steamid': '76561198354507551', 'num_games_owned': 263, 'num_reviews': 11, 'playtime_forever': 938, 'playtime_last_two_weeks': 0, 'playtime_at_review': 415, 'last_played': 1626208831}",english,"Taco Tom is the best game ever made, when Sally offered sex I HAD A HUGE BONER!!!!!! 10/10",1609452272,1609452272,True,55,28,0.785866498947143555,2,False,False,False,False,,,
83612351,"{'steamid': '76561198285129423', 'num_games_owned': 0, 'num_reviews': 17, 'playtime_forever': 653, 'playtime_last_two_weeks': 0, 'playtime_at_review': 204, 'last_played': 1705020068}",english,taco,1609376667,1609376667,True,24,4,0.651502847671508789,0,True,False,False,False,,,
60797425,"{'steamid': '76561198294656498', 'num_games_owned': 50, 'num_reviews': 4, 'playtime_forever': 141, 'playtime_last_two_weeks': 0, 'playtime_at_review': 121, 'last_played': 1596746970}",english,story line is epic and fun but challenging gameplay,1577583739,1577583739,True,7,0,0.548342347145080566,0,True,False,False,False,,,
60296922,"{'steamid': '76561198799474150', 'num_games_owned': 129, 'num_reviews': 4, 'playtime_forever': 204, 'playtime_last_two_weeks': 0, 'playtime_at_review': 185, 'last_played': 1583052183}",english,"A truly gripping tale of manipulation, betrayal, and tragedy. Since my mother died recently I felt I had lost everything, I was in the most depressed state of my life, but this game changed everything. Now I just want to kill myself this is the masterpiece that I have been looking for my whole life. I always carry a copy of taco tom 2 with me to share with anyone and everyone. Thank for this game, I feel as if my life has purpose now and also my mom too thanks",1576999941,1576999941,True,16,6,0.582182586193084717,0,True,False,False,False,,,
58226823,"{'steamid': '76561198298604821', 'num_games_owned': 0, 'num_reviews': 13, 'playtime_forever': 23, 'playtime_last_two_weeks': 0, 'playtime_at_review': 23, 'last_played': 1574871655}",english,spec taco lar,1574871777,1574871777,True,15,7,0.584723889827728271,0,True,False,False,False,,,
58123896,"{'steamid': '76561198078409142', 'num_games_owned': 0, 'num_reviews': 3, 'playtime_forever': 8, 'playtime_last_two_weeks': 0, 'playtime_at_review': 8, 'last_played': 1574847191}",russian,ТАК СЕБЕ,1574847408,1574847408,False,1,2,0.380612432956695557,0,True,False,False,False,,,
57989473,"{'steamid': '76561197971790479', 'num_games_owned': 823, 'num_reviews': 30, 'playtime_forever': 103, 'playtime_last_two_weeks': 0, 'playtime_at_review': 102, 'last_played': 1574806700}",english,"It's a pretty simple game but for me it's still pretty fun and has an interesting story.
",1574806582,1574806582,True,1,0,0,0,True,False,False,False,,,
47577392,"{'steamid': '76561198877362323', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 67, 'playtime_last_two_weeks': 0, 'playtime_at_review': 67, 'last_played': 1544992635}",english,"The game starts out so easy... but then you learn that sometimes you have to use slow down time... and sometimes you have to use speed up time.... and sometimes you have to dash while slowing down or maybe speeding up.... and that's just the first 2 levels!  The game is quite fascinating and different. It is like a cross between Tetris and Simon, with a cool story thrown in.  Yet it is an entirely unique and fun game. Definitely challenges your reflexes.  Highly recommended!",1544993350,1544993350,True,21,1,0.663615286350250244,0,True,False,False,False,,,
47529053,"{'steamid': '76561198001794020', 'num_games_owned': 0, 'num_reviews': 7, 'playtime_forever': 56, 'playtime_last_two_weeks': 0, 'playtime_at_review': 42, 'last_played': 1544993703}",english,"Awesomely delightful game. So much fun to play, with just the right amount of skill increase required as the game progresses. A great family game. You get to wholesomely make tacos for a great change rather than always killing monsters and aliens. A Brilliant work of game making.  I would have to rate this 10 stars **********  out of ten. -David.",1544813848,1544813848,True,22,3,0.590622246265411377,0,True,False,False,False,,,
