recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,timestamp_dev_responded,developer_response
162368721,"{'steamid': '76561198163834595', 'num_games_owned': 556, 'num_reviews': 120, 'playtime_forever': 450, 'playtime_last_two_weeks': 0, 'playtime_at_review': 450, 'last_played': 1708610149}",english,"Fairly typical Mahjong game. However it does seems to be fairly easy. I never seem to run out of moves. Then again, maybe I've been lucky. 

Graphics are nothing special but since it's a simplistic game, it doesn't need to be. 
Audio is also average but again, no story line or special effects so audio doesn't need to be high end either. 

This is a nice little time killer for Mahjong players. 7/10",1712441089,1712441089,True,0,0,0,0,False,False,False,True,,,
162276284,"{'steamid': '76561198439107957', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 194, 'playtime_last_two_weeks': 195, 'playtime_at_review': 188, 'last_played': 1712339754}",russian,nice,1712339679,1712339679,True,0,0,0,0,False,False,False,True,,,
162235199,"{'steamid': '76561198334475529', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 277, 'playtime_last_two_weeks': 167, 'playtime_at_review': 200, 'last_played': 1712359211}",english,Nice and relaxing,1712291154,1712291154,True,0,0,0,0,False,False,False,True,,,
162078626,"{'steamid': '76561198335353342', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 6, 'playtime_last_two_weeks': 6, 'playtime_at_review': 6, 'last_played': 1712108220}",english,"i don't want to build little bridges to save the troll people or whatever, i just wanted to play mahjong",1712108835,1712108835,False,1,0,0.523809552192687988,0,False,False,False,True,,,
161964505,"{'steamid': '76561199124838492', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 1422, 'playtime_last_two_weeks': 1422, 'playtime_at_review': 671, 'last_played': 1712433087}",french,c'est un jeux très ludique,1711991765,1711991765,True,0,0,0,0,False,False,False,True,,,
161963959,"{'steamid': '76561198874911434', 'num_games_owned': 66, 'num_reviews': 1, 'playtime_forever': 537, 'playtime_last_two_weeks': 438, 'playtime_at_review': 288, 'last_played': 1712413253}",french,cool,1711991244,1711991244,True,0,0,0,0,False,False,False,True,,,
161718451,"{'steamid': '76561198381389651', 'num_games_owned': 87, 'num_reviews': 50, 'playtime_forever': 1636, 'playtime_last_two_weeks': 1636, 'playtime_at_review': 489, 'last_played': 1712430289}",russian,"Обожаю в нее играть на парах, когда идут нудные лекции
",1711711757,1711711757,True,0,0,0,0,False,False,False,True,,,
161671855,"{'steamid': '76561199644634974', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 576, 'playtime_last_two_weeks': 437, 'playtime_at_review': 293, 'last_played': 1712254619}",italian,"gioco piacevole, grafica basica ma gradevole il giusto. Se si seguono le missioni il tempo a disposizione del gioco risulta soddisfacente",1711653407,1711653407,True,0,0,0,0,False,False,False,True,,,
161580359,"{'steamid': '76561198339683003', 'num_games_owned': 318, 'num_reviews': 28, 'playtime_forever': 64, 'playtime_last_two_weeks': 31, 'playtime_at_review': 33, 'last_played': 1711545528}",russian,"ахахахха
Остается еще 24 хода, выскакивает предупреждение ""Больше нет ходов: Закрыть/Переиграть"". 3aeбись",1711545253,1711545253,False,0,0,0,0,False,False,False,True,,,
161567665,"{'steamid': '76561198812554153', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 1605, 'playtime_last_two_weeks': 1507, 'playtime_at_review': 170, 'last_played': 1712391163}",ukrainian,затягує,1711528316,1711528316,True,0,0,0,0,False,False,False,True,,,
161535651,"{'steamid': '76561198254038596', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 2173, 'playtime_last_two_weeks': 660, 'playtime_at_review': 1648, 'last_played': 1712428200}",english,Fun and interesting game,1711485569,1711485569,True,0,0,0,0,False,False,False,True,,,
161427086,"{'steamid': '76561198853718345', 'num_games_owned': 27, 'num_reviews': 2, 'playtime_forever': 1523, 'playtime_last_two_weeks': 1289, 'playtime_at_review': 233, 'last_played': 1712350790}",brazilian,Até o momento estou gostando do jogo..,1711368482,1711368482,True,0,0,0,0,False,False,False,True,,,
161364389,"{'steamid': '76561198054894932', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 514, 'playtime_last_two_weeks': 174, 'playtime_at_review': 370, 'last_played': 1712424634}",english,Not bad,1711296541,1711296541,True,0,0,0,0,False,False,False,True,,,
161349572,"{'steamid': '76561199138184238', 'num_games_owned': 0, 'num_reviews': 4, 'playtime_forever': 1466, 'playtime_last_two_weeks': 983, 'playtime_at_review': 667, 'last_played': 1712044649}",russian,мне нравится!,1711285588,1711285588,True,1,0,0.523809552192687988,0,False,False,False,True,,,
161290515,"{'steamid': '76561198050384203', 'num_games_owned': 0, 'num_reviews': 4, 'playtime_forever': 1170, 'playtime_last_two_weeks': 887, 'playtime_at_review': 197, 'last_played': 1712449836}",russian,"Классический маджонг в обрамлении из приятной музыки, симпатичной графики и какого-никакого сюжета. Это неожиданно, маджонг с сюжетом мне попадается впервые. Иногда сиё действо разбавляется мелкими несложными головоломками при открытии сундуков, но их не особо много.
Донат есть, но он необязательный, только для тех, кому совсем невтерпеж продвинуться по карте и сижету, игра спокойно проходится и без него. 
Приятная бесплатная вещица чтобы скоротать время не напрягая мозг и нервы.
Отдельно отмечу, что у этого издателя есть еще игра Lost Lands: A Hidden Object Adventure - ровно тот же самый сюжет с теми же декорациями, но мини-игры не маджонг, а поиск скрытых предметов. По моим ощущениям проходится быстрее, но они обе хорошие.",1711225689,1711305513,True,0,0,0,0,False,False,False,True,,,
161193139,"{'steamid': '76561199015490284', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 11788, 'playtime_last_two_weeks': 2902, 'playtime_at_review': 8130, 'last_played': 1712424249}",english,I enjoy the different quests and story lines. I love the artistry and simplicity of the game.,1711142208,1711142208,True,0,0,0,0,False,False,False,True,,,
160963667,"{'steamid': '76561198140596437', 'num_games_owned': 0, 'num_reviews': 11, 'playtime_forever': 59, 'playtime_last_two_weeks': 0, 'playtime_at_review': 59, 'last_played': 1710904995}",english,what do you mean no more moves????????????,1710905029,1710905029,False,1,1,0.523809552192687988,0,False,False,False,True,,,
160958294,"{'steamid': '76561198048165806', 'num_games_owned': 221, 'num_reviews': 2, 'playtime_forever': 3040, 'playtime_last_two_weeks': 2302, 'playtime_at_review': 91, 'last_played': 1712442230}",english,Just rated it for the quest.,1710898061,1710898061,True,0,0,0,0,False,False,False,True,,,
160500577,"{'steamid': '76561198161060520', 'num_games_owned': 223, 'num_reviews': 8, 'playtime_forever': 149, 'playtime_last_two_weeks': 0, 'playtime_at_review': 107, 'last_played': 1710602488}",polish,Spoczko Giereczka. Lubie takie!,1710407954,1710407954,True,0,0,0,0,False,False,False,True,,,
160466721,"{'steamid': '76561198044842075', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 1277, 'playtime_last_two_weeks': 565, 'playtime_at_review': 296, 'last_played': 1711830453}",german,Top,1710357668,1710357668,True,0,0,0,0,False,False,False,True,,,
160392296,"{'steamid': '76561198144750069', 'num_games_owned': 0, 'num_reviews': 17, 'playtime_forever': 115, 'playtime_last_two_weeks': 0, 'playtime_at_review': 115, 'last_played': 1710255701}",english,"Normal Mahjong game with all the frustration of the ""energy"" system so you can't just play at your own schedule.",1710255974,1710255974,False,2,0,0.545454561710357666,0,False,False,False,True,,,
160310609,"{'steamid': '76561199629033513', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 13537, 'playtime_last_two_weeks': 5409, 'playtime_at_review': 2719, 'last_played': 1712454949}",english,its fun,1710132247,1710132247,True,0,0,0,0,False,False,False,True,,,
160038697,"{'steamid': '76561198839556407', 'num_games_owned': 0, 'num_reviews': 22, 'playtime_forever': 7, 'playtime_last_two_weeks': 0, 'playtime_at_review': 7, 'last_played': 1709821054}",german,"Die geschichte ist zwar ganz gut gemacht, allerdings handelt es sich hier um ein klassisches Pay to Win Modell schade.
Wer damit allerdings kein Problem hat, kann ruhig zugreifen.",1709821209,1709821209,False,0,0,0,0,False,False,False,True,,,
