recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,timestamp_dev_responded,developer_response
162374084,"{'steamid': '76561198146550463', 'num_games_owned': 283, 'num_reviews': 19, 'playtime_forever': 207, 'playtime_last_two_weeks': 77, 'playtime_at_review': 207, 'last_played': 1712447136}",english,The minimum hardware specs have omitted an important item: this game requires a subwoofer.,1712447458,1712447458,True,0,0,0,0,True,False,False,True,,,
162371871,"{'steamid': '76561198262851627', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 358, 'playtime_last_two_weeks': 358, 'playtime_at_review': 320, 'last_played': 1712447409}",english,"Every song is unique with their very own beat and each beat is an attack. If you're looking for a challenge then here it is because the bosses are a CHALLENGE! You will be stuck on Close To Me and the finale boss and no, not the song, the boss. REALLY RECOMMEND!",1712444769,1712444769,True,0,0,0,0,True,False,False,True,,,
162358075,"{'steamid': '76561199556846781', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 763, 'playtime_last_two_weeks': 763, 'playtime_at_review': 479, 'last_played': 1712493957}",russian,вроде круто,1712430688,1712430688,True,0,0,0,0,True,False,False,True,,,
162348603,"{'steamid': '76561199031701208', 'num_games_owned': 160, 'num_reviews': 17, 'playtime_forever': 3169, 'playtime_last_two_weeks': 0, 'playtime_at_review': 3169, 'last_played': 1710389222}",schinese,游戏很好玩，已经跟小紫结婚了❤❤❤,1712421974,1712421974,True,0,0,0,0,True,False,False,True,,,
162345042,"{'steamid': '76561199588901252', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 294, 'playtime_last_two_weeks': 62, 'playtime_at_review': 294, 'last_played': 1712418750}",english,people who like music would love this. there is a spice of difficulty in each level,1712418849,1712418849,True,0,0,0,0,True,False,False,True,,,
162342101,"{'steamid': '76561199198666594', 'num_games_owned': 0, 'num_reviews': 12, 'playtime_forever': 482, 'playtime_last_two_weeks': 6, 'playtime_at_review': 482, 'last_played': 1711661939}",english,i like rhythm games (including this one)!!!!!!!!!,1712416350,1712416350,True,1,0,0,0,True,False,False,True,,,
162319133,"{'steamid': '76561199624693504', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 360, 'playtime_last_two_weeks': 245, 'playtime_at_review': 360, 'last_played': 1712297994}",latam,Muy Ritmico XD,1712391526,1712391526,True,0,0,0,0,True,False,False,True,,,
162308062,"{'steamid': '76561199076536408', 'num_games_owned': 0, 'num_reviews': 5, 'playtime_forever': 712, 'playtime_last_two_weeks': 20, 'playtime_at_review': 712, 'last_played': 1712190540}",english,jood jame,1712376041,1712376041,True,0,0,0,0,True,False,False,True,,,
162299170,"{'steamid': '76561199403308112', 'num_games_owned': 0, 'num_reviews': 8, 'playtime_forever': 2829, 'playtime_last_two_weeks': 129, 'playtime_at_review': 2699, 'last_played': 1712451831}",english,"Really enjoy able. i can come back to this game, and keep getting smacked in the face with red deathly balls, and still enjoy. (even tho i sometimes rage when i'm right at the end with my last re-spawn life)",1712364469,1712364469,True,0,0,0,0,True,False,False,True,,,
162292560,"{'steamid': '76561198386911630', 'num_games_owned': 0, 'num_reviews': 88, 'playtime_forever': 335, 'playtime_last_two_weeks': 57, 'playtime_at_review': 335, 'last_played': 1711376518}",english,"positive:
- simple but captivating visuals

negative:
- the storymode is way to short

estimated time: 6h
rating: 6/10",1712355917,1712355917,True,0,0,0,0,True,False,False,True,,,
