recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location
150796366,"{'steamid': '76561198304880726', 'num_games_owned': 6575, 'num_reviews': 1717, 'playtime_forever': 9, 'playtime_last_two_weeks': 0, 'playtime_at_review': 9, 'last_played': 1700618779}",english,Warlords,1700618794,1700618794,True,0,0,0,0,False,False,False,True,
150456289,"{'steamid': '76561198045393538', 'num_games_owned': 0, 'num_reviews': 42, 'playtime_forever': 696, 'playtime_last_two_weeks': 0, 'playtime_at_review': 606, 'last_played': 1700436134}",french,"CIV IV sous toutes ses déclinaisons est le meilleur de la série. Grand public ou plus pointu, c'est vous qui choisissez...",1700430505,1700430505,True,0,0,0,0,False,False,False,True,
149791568,"{'steamid': '76561199206074607', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 3503, 'playtime_last_two_weeks': 0, 'playtime_at_review': 3503, 'last_played': 1699462421}",spanish,un poco bueno,1699499048,1699499048,True,0,0,0,0,False,False,False,True,
148687322,"{'steamid': '76561197986781352', 'num_games_owned': 0, 'num_reviews': 32, 'playtime_forever': 1177, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1177, 'last_played': 1692647346}",english,"Sid Meier’s Civilization IV is an addicting 4X strategy game. As a leader of one of the eighteen civilizations of the base game (that can become even more with the two expansions, Warlords and Beyond the Sword) the player is expected to explore the surrounding lands (in a potentially procedurally generated map) and expand their city borders, found new cities or conquer others to gradually become an empire and eventually win a campaign that spans from the stone age to the near future of 2050. Victory can be achieved in many ways, from being the first civilization to reach outer space, to remaining the only civilization that is left on the map. The most interesting and addicting factor of Civilization IV are the choices the player takes, each one leading their civilization’s progress in a different direction. The technology tree is interesting and varied, allowing to focus on military prowess in one game or scientific progress in another; each choice could be the better one, depending on the map, the adversaries and the success in building world wonders or founding religions. Accompanying these potentially endless games are decent graphics that are clear to understand despite the complexity of the system and an incredibly (and award winning!) soundtrack. The Warlord expansion adds six more civilizations, more leaders and unique scenarios to the main game, but is otherwise unremarkable. The Beyond the Sword expansions is a lot better, adding ten more civilizations, more leaders, more unique scenarios and late game buildings; it also adds natural disasters and expanded victory conditions, making the end game a lot more interesting. Civilization IV – The Complete Edition is an amazing package, with virtually endless fours of fun that players want to spend time with, even if just for… one… more… turn…",1697997573,1697997573,True,0,0,0,0,True,False,False,True,
146193205,"{'steamid': '76561198131040376', 'num_games_owned': 89, 'num_reviews': 58, 'playtime_forever': 320, 'playtime_last_two_weeks': 0, 'playtime_at_review': 320, 'last_played': 1694558335}",czech,] [b] I [/b] [ Bohužel několikrát se mi stal ´Fatal memory error´ a když si musíte naloudit save a přijdete tak o pěkných pár hodin hry tak se vám pak fakt nechce pokračovat.... Škoda no...,1694558570,1699302159,False,0,0,0,0,True,False,False,True,
145893119,"{'steamid': '76561198354112513', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 3977, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2706, 'last_played': 1695170507}",english,fun,1694148172,1694148172,True,0,0,0,0,True,False,False,True,
145006939,"{'steamid': '76561198114903314', 'num_games_owned': 0, 'num_reviews': 3, 'playtime_forever': 6768, 'playtime_last_two_weeks': 472, 'playtime_at_review': 787, 'last_played': 1710130722}",english,I love playing this in marathon mode!,1692989969,1692989969,True,0,0,0,0,True,False,False,True,
144044098,"{'steamid': '76561198835134326', 'num_games_owned': 0, 'num_reviews': 71, 'playtime_forever': 375, 'playtime_last_two_weeks': 0, 'playtime_at_review': 375, 'last_played': 1695343024}",english,"I recommend this product,",1691886641,1691886641,True,0,0,0,0,True,True,False,True,
143736851,"{'steamid': '76561199241484895', 'num_games_owned': 0, 'num_reviews': 7, 'playtime_forever': 8525, 'playtime_last_two_weeks': 0, 'playtime_at_review': 4462, 'last_played': 1708755091}",english,an old fav - never misses,1691609993,1691609993,True,0,0,0,0,True,False,False,True,
143302613,"{'steamid': '76561198010981788', 'num_games_owned': 0, 'num_reviews': 55, 'playtime_forever': 155, 'playtime_last_two_weeks': 0, 'playtime_at_review': 155, 'last_played': 1691039602}",english,After Civ 4 the civilization games started working to force specific play styles. I miss when the sandbox game was still a sandbox game and you could do what you want.,1691039699,1691039699,True,0,0,0,0,True,False,False,True,
