recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,timestamp_dev_responded,developer_response
162318709,"{'steamid': '76561198355752399', 'num_games_owned': 2263, 'num_reviews': 2772, 'playtime_forever': 826, 'playtime_last_two_weeks': 826, 'playtime_at_review': 466, 'last_played': 1712480096}",russian,💋,1712390936,1712390936,True,0,0,0,0,True,False,False,True,,,
161291659,"{'steamid': '76561199134095780', 'num_games_owned': 553, 'num_reviews': 475, 'playtime_forever': 456, 'playtime_last_two_weeks': 71, 'playtime_at_review': 385, 'last_played': 1711625278}",russian,<3,1711226607,1711226607,True,0,0,0,0,True,False,False,True,,,
160337400,"{'steamid': '76561198868631711', 'num_games_owned': 664, 'num_reviews': 2462, 'playtime_forever': 137, 'playtime_last_two_weeks': 0, 'playtime_at_review': 137, 'last_played': 1678021137}",russian,"Мужики, спасайте, если наберём 10 лайков и 5 наград, то жена подарит ящик пива",1710174976,1710174976,True,4,0,0.545179843902587891,0,True,False,False,True,,,
160109794,"{'steamid': '76561198045468592', 'num_games_owned': 1003, 'num_reviews': 216, 'playtime_forever': 4378, 'playtime_last_two_weeks': 0, 'playtime_at_review': 4378, 'last_played': 1524693999}",english,"Bad controls, Bad game, Bad price.",1709911480,1709911480,False,2,0,0.540636062622070313,0,True,False,False,True,,,
160097263,"{'steamid': '76561198074660874', 'num_games_owned': 4462, 'num_reviews': 1460, 'playtime_forever': 88, 'playtime_last_two_weeks': 0, 'playtime_at_review': 88, 'last_played': 1709898379}",english,"The only good thing in this game is the sound effects, which aren’t even from this game.",1709898520,1709898520,False,2,0,0.465050667524337769,0,False,False,False,True,,,
158711773,"{'steamid': '76561199056234629', 'num_games_owned': 101, 'num_reviews': 102, 'playtime_forever': 1208, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1036, 'last_played': 1708900265}",russian,<3,1708342720,1708342720,True,0,0,0,0,True,False,False,True,,,
157992236,"{'steamid': '76561198844282465', 'num_games_owned': 1575, 'num_reviews': 4684, 'playtime_forever': 89, 'playtime_last_two_weeks': 0, 'playtime_at_review': 89, 'last_played': 1678537784}",russian,☀️,1707565628,1707565628,True,0,0,0,0,True,False,False,True,,,
156319295,"{'steamid': '76561199010042150', 'num_games_owned': 3874, 'num_reviews': 2454, 'playtime_forever': 217, 'playtime_last_two_weeks': 0, 'playtime_at_review': 217, 'last_played': 1649394106}",english,"I am 32 years old.

My ex-wife and I have a daughter together, and we adopted our son together. Both are now 4 years old.

When we were going through our separation, I felt lost and unhappy. I was self-destructive. One day, I was so angry with everything spiraling out of control that I punched a concrete wall in a moment of overwhelming emotion. This resulted in breaking my fifth metacarpal in my right hand—the hand I worked with, played games with, and used to carry my children to bed—the hand I desperately needed to ensure I could continue providing.

Upon learning the severity of the self-inflicted damage, I became almost suicidal. Keep in mind that just a few months before this, I was the happiest man, with no history of depression or anxiety. I had never experienced anger outbursts, nor was I the type to break down and cry, but I was in a tough situation that truly prevented me from seeing the light on the other side.

With nothing better to do, I looked for a game I could play WITH ONE HAND while recovering. Somehow, I stumbled upon this game and read some of the comments. I decided it was worth a try... I must admit I didn't beat the game, nor did I play as much as some of you. In fact, I may have played this game for only a day or two. That being said, after doing so, I had a new joy and hope for life. I managed to leave behind the pain and suffering that had been thrust upon me. I could experience the joy and happiness of other people. I relaxed for 5 ♥♥♥♥ minutes listening to this music, long enough to realize that I would be okay.

After realizing this, I turned off the game and went back to work. My hand hurt a lot, but I was motivated. I stopped feeling so sorry for myself and became the father I needed to be at that moment, not the weak boy I was behaving like.

Today, I am close friends with the mother of my children. We don't fight, argue, or say hurtful things to each other. We are parents and friends.

Now I have 3 children. My third child is, wait, ALSO 4 YEARS OLD. The woman I am with was going through a very similar situation at the time of my separation, and we just unexpectedly stumbled into each other's lives. We have been dating for a year and are very happy together.

Moral of the story: you never know what life has in store for you, and if I had given up when all odds were against me, I wouldn't be where I am today. This silly little game helped me realize that.

Thank you.",1705694166,1705694166,True,1,0,0.475675672292709351,0,True,False,False,True,,,
154509143,"{'steamid': '76561199073223046', 'num_games_owned': 117, 'num_reviews': 187, 'playtime_forever': 90, 'playtime_last_two_weeks': 0, 'playtime_at_review': 90, 'last_played': 1680278547}",brazilian,"Pra insigna tá bom
",1703648784,1703648784,True,0,0,0,0,True,False,False,True,,,
154302265,"{'steamid': '76561198172925593', 'num_games_owned': 14023, 'num_reviews': 4533, 'playtime_forever': 136, 'playtime_last_two_weeks': 0, 'playtime_at_review': 19, 'last_played': 1703626695}",schinese,很莫名其妙的滑板游戏,1703430696,1703430696,False,4,0,0.362992912530899048,0,True,False,False,True,,,
