recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,timestamp_dev_responded,developer_response
145272074,"{'steamid': '76561198084495576', 'num_games_owned': 292, 'num_reviews': 18, 'playtime_forever': 79, 'playtime_last_two_weeks': 0, 'playtime_at_review': 79, 'last_played': 1678319319}",english,"Unfortunately, I can't recommend this game.
It looked like it had a lot of potential, but it seems to have not been updated in earnest in about 3-4 years. There's just not a lot to see here. It's functional, but with very little personality.",1693329082,1693329082,False,0,0,0,0,True,False,True,True,,,
121494010,"{'steamid': '76561198082117469', 'num_games_owned': 12527, 'num_reviews': 568, 'playtime_forever': 35, 'playtime_last_two_weeks': 0, 'playtime_at_review': 35, 'last_played': 1661895344}",french,"Jeu à l'abandon de puis 2016.
Libre à vous de faire vos propres circuits de Parkour, mais par contre la physique et le système du jeu est complètement planté et fonctionne une fois sur deux.
Vous devez en plus vous créer un compte sur le site Snowbit (site des développeurs), qui est toujours en construction (une seule page du site avec écrit coming soon), mais vous pouvez vous créer un compte depuis le jeu.
Ce jeu est donc à éviter, sauf si vous aimez juste utiliser l'éditeur de cartes.",1661895564,1661895564,False,0,0,0,0,False,False,True,True,,,
106630889,"{'steamid': '76561198952276437', 'num_games_owned': 0, 'num_reviews': 11, 'playtime_forever': 15, 'playtime_last_two_weeks': 0, 'playtime_at_review': 7, 'last_played': 1640577556}",english,frick you and your enployees cant play i rate 0 FUCKS,1640577054,1640577054,False,1,0,0.509433984756469727,0,True,False,True,False,,,
68310575,"{'steamid': '76561198120641582', 'num_games_owned': 395, 'num_reviews': 22, 'playtime_forever': 346, 'playtime_last_two_weeks': 0, 'playtime_at_review': 346, 'last_played': 1588245093}",schinese,"时隔差不多三年再次玩了一遍，感觉大体上还是很不错的，除了爬墙和跑墙的判定有点迷。
虽然已经知道开发者不再开发这个游戏了，不过说真的，如果有可能的话希望有人能再次接手这个游戏的开发，毕竟我觉得这个游戏还是有很大的潜力的。",1588264620,1588264620,True,0,0,0,0,True,False,True,False,,,
62668860,"{'steamid': '76561198172925593', 'num_games_owned': 14023, 'num_reviews': 4533, 'playtime_forever': 13, 'playtime_last_two_weeks': 0, 'playtime_at_review': 13, 'last_played': 1580376866}",schinese,"一坨屎
是谁给你的勇气，需要注册一个账号、并且还要验证邮箱才能登陆你这傻逼游戏？
搞了个屎一样的辣鸡就拿出来骗钱，EA都3年多了还这副屎样
",1580377045,1580377045,False,2,1,0.460460454225540161,0,False,False,True,False,,,
54890685,"{'steamid': '76561198031313794', 'num_games_owned': 8531, 'num_reviews': 3393, 'playtime_forever': 69, 'playtime_last_two_weeks': 0, 'playtime_at_review': 69, 'last_played': 1567196589}",russian,"[h1]Описание:[/h1]
Заброшенный в раннем доступе проект в который я так и не смог поиграть... Для того чтобы начать игру нужно зарегистрироваться - пароль, почта. Левые данные почему-то игра не принимала, а вводить в непонятную игру с 0 отзывов и разработчиком положившим болт на её развитие не хочется. В итоге я остался без игры, а разработчик с этим первым русскоязычным обзором.

[h1]Послесловие:[/h1]
Если вам понравился этот обзор добро пожаловать в группу
http://steamcommunity.com/groups/uojer - тут вы сможете увидеть рекомендованные мною игры, другие обзоры, а также просто пообщаться в хорошей компании.",1567196743,1567196743,False,4,0,0.565564930438995361,0,False,False,True,False,,,
42384098,"{'steamid': '76561198125125460', 'num_games_owned': 0, 'num_reviews': 36, 'playtime_forever': 54, 'playtime_last_two_weeks': 0, 'playtime_at_review': 54, 'last_played': 1527689518}",koreana,야 이건 옆동네 봉선이도 손절하는데?,1527689709,1527748001,False,5,2,0.592628538608551025,0,False,False,True,False,,,
40940826,"{'steamid': '76561198354026538', 'num_games_owned': 701, 'num_reviews': 77, 'playtime_forever': 12, 'playtime_last_two_weeks': 0, 'playtime_at_review': 12, 'last_played': 1521561451}",schinese,垃圾游戏 还以为是个好东西  结果 呵呵 各种bug导致游戏没办法进行 还有的时候点一下卡一年 我1080ti大雕表示害怕 这游戏怪不得卖不出去 活该,1521561542,1521561542,False,0,0,0,0,True,False,True,False,,,
38316389,"{'steamid': '76561198303081957', 'num_games_owned': 598, 'num_reviews': 26, 'playtime_forever': 37, 'playtime_last_two_weeks': 0, 'playtime_at_review': 37, 'last_played': 1509864567}",schinese,可以可以很不错，偏休闲，比较真实，只是地图编辑器不是很成熟，如果在某一个包里有这款游戏一定要买来试试看，果然没挑错。,1513313365,1513313365,True,0,1,0,0,False,False,True,False,,,
34026419,"{'steamid': '76561198106661365', 'num_games_owned': 195, 'num_reviews': 5, 'playtime_forever': 177, 'playtime_last_two_weeks': 0, 'playtime_at_review': 142, 'last_played': 1521287367}",english,"For an early access game its pretty good.
It has of course flaws like no tutorial for controls and fps drops in some maps but overall its a good game and the controls can be learned in 10-20 minutes or less. 
I have only played this for an hour and i like it alot, i can definitely see this game grow better and better.
",1501890183,1501890183,True,5,1,0.548789441585540771,0,False,False,True,False,,,
32649346,"{'steamid': '76561198144148740', 'num_games_owned': 618, 'num_reviews': 38, 'playtime_forever': 16, 'playtime_last_two_weeks': 0, 'playtime_at_review': 16, 'last_played': 1495274193}",french,"Pas mal mais manque d'opti et de contenu, l'ayant eu dans un bundle , je ne peux que le recommender, à suivre de prêt !",1498159451,1498159451,True,0,0,0,0,False,False,True,False,,,
26121107,"{'steamid': '76561198083506904', 'num_games_owned': 151, 'num_reviews': 1, 'playtime_forever': 94, 'playtime_last_two_weeks': 0, 'playtime_at_review': 94, 'last_played': 1482437453}",english,"Don't buy this, it hasn't been updated for months with no sign of any activity going on what so ever.",1476911483,1514482061,False,11,1,0.613614976406097412,1,True,False,True,False,,,
