recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location
150028131,"{'steamid': '76561198188472018', 'num_games_owned': 150, 'num_reviews': 12, 'playtime_forever': 35, 'playtime_last_two_weeks': 0, 'playtime_at_review': 35, 'last_played': 1638062400}",english,Blast from the past I remember playing for hours on the Wii,1699824021,1699824021,True,0,0,0,0,True,False,False,True,
142790935,"{'steamid': '76561198256728918', 'num_games_owned': 1365, 'num_reviews': 88, 'playtime_forever': 150, 'playtime_last_two_weeks': 0, 'playtime_at_review': 150, 'last_played': 1690314132}",english,"Another ""Real-time"" Puzzle game and just like other entries in this genre, it is just not that engaging (in my opinion at least).
The puzzle aspect is too shallow, so are the ""platforming""-elements and together it manages to annoy more than it engages.",1690315604,1690315604,False,1,1,0.540162980556488037,0,True,False,False,True,
142613084,"{'steamid': '76561198027973295', 'num_games_owned': 1820, 'num_reviews': 1844, 'playtime_forever': 66, 'playtime_last_two_weeks': 0, 'playtime_at_review': 66, 'last_played': 1690070197}",russian,"Стандартная головоломка с кубом, которую почему-то взялись издавать Юбики",1690070225,1690070236,True,2,1,0.546341478824615479,0,True,False,False,True,
128016424,"{'steamid': '76561198311626127', 'num_games_owned': 208, 'num_reviews': 23, 'playtime_forever': 6, 'playtime_last_two_weeks': 0, 'playtime_at_review': 5, 'last_played': 1670298690}",english,"wish i could play this on steam but it always crashes, sometimes crashes the entire pc.
think your best bet would be to play this on a console [spoiler]or even emulate the wii version[/spoiler] anyway.",1670299774,1670299774,False,0,0,0.476190477609634399,0,True,False,False,True,
118144805,"{'steamid': '76561197988827286', 'num_games_owned': 2857, 'num_reviews': 547, 'playtime_forever': 68, 'playtime_last_two_weeks': 0, 'playtime_at_review': 68, 'last_played': 1656870312}",english,"Ehh... it's not the *worst* game, but it feels like it's just a bad base puzzle mechanic, and the puzzles are mostly about trying to remember how dice works. The ones that aren't are super easy. A lot of times, it feels faster to just blindly move around and hope it works.

Which is to say, it feels like they should've scrapped the concept when they discovered it, but didn't.",1656870605,1656870605,False,0,0,0,0,True,False,False,False,
113688401,"{'steamid': '76561199225429688', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 184, 'playtime_last_two_weeks': 0, 'playtime_at_review': 180, 'last_played': 1654316599}",english,sonething,1649680228,1649680228,True,1,1,0.515151500701904297,0,True,False,False,False,
109824934,"{'steamid': '76561198047169493', 'num_games_owned': 0, 'num_reviews': 4, 'playtime_forever': 4181, 'playtime_last_two_weeks': 0, 'playtime_at_review': 471, 'last_played': 1645457529}",english,"GREAT BRAIN GAME!!!
",1644373065,1644373065,True,0,0,0,0,True,False,False,False,
104663983,"{'steamid': '76561198014564720', 'num_games_owned': 0, 'num_reviews': 87, 'playtime_forever': 25, 'playtime_last_two_weeks': 0, 'playtime_at_review': 24, 'last_played': 1638170362}",english,Hidden Gem 👍,1638170051,1638170051,True,0,0,0,0,True,False,False,False,
99242152,"{'steamid': '76561198179587290', 'num_games_owned': 3225, 'num_reviews': 61, 'playtime_forever': 9, 'playtime_last_two_weeks': 0, 'playtime_at_review': 9, 'last_played': 1631465721}",english,Just here to add another review :),1631465753,1631465753,True,0,0,0,0,True,False,False,False,
95522376,"{'steamid': '76561198836336516', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 1049, 'playtime_last_two_weeks': 0, 'playtime_at_review': 845, 'last_played': 1687532558}",schinese,"整体不错 玩法也很好 但是中后期通关,,,难死了",1625990346,1625990346,True,0,0,0,0,True,False,False,False,
88573181,"{'steamid': '76561198996513118', 'num_games_owned': 0, 'num_reviews': 20, 'playtime_forever': 47, 'playtime_last_two_weeks': 0, 'playtime_at_review': 14, 'last_played': 1618418572}",english,Nice game 👍,1615961699,1616051122,True,1,0,0.525862038135528564,0,False,False,False,False,
69094464,"{'steamid': '76561197986997483', 'num_games_owned': 846, 'num_reviews': 314, 'playtime_forever': 258, 'playtime_last_two_weeks': 0, 'playtime_at_review': 258, 'last_played': 1424589669}",english,This was a lot of fun.  You have to think about your die in three dimensions to solve the puzzles.,1589419681,1589419681,True,1,0,0.523809552192687988,0,True,False,False,False,
42009924,"{'steamid': '76561198040871804', 'num_games_owned': 0, 'num_reviews': 121, 'playtime_forever': 159, 'playtime_last_two_weeks': 0, 'playtime_at_review': 159, 'last_played': 1526185547}",schinese,"点子不错，设计一致性也做的不错。
然而，中后期谜题计算量太大，而且有各种恶性BUG。很想给差评
（score：6/10）",1526183704,1591452084,True,0,0,0.476190477609634399,0,True,False,False,False,
