,recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location
271,160695655,"{'steamid': '76561198044307804', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 639, 'playtime_last_two_weeks': 639, 'playtime_at_review': 408, 'last_played': 1710636303}",french,masterclass tacos,1710617323,1710617323,True,0,0,0,0,True,False,True,True,
272,160695600,"{'steamid': '76561199229692942', 'num_games_owned': 0, 'num_reviews': 4, 'playtime_forever': 1512, 'playtime_last_two_weeks': 63, 'playtime_at_review': 1448, 'last_played': 1710627319}",english,America,1710617279,1710617279,True,1,0,0.474999994039535522,0,True,False,True,True,
273,160695271,"{'steamid': '76561198248447718', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 260, 'playtime_last_two_weeks': 260, 'playtime_at_review': 221, 'last_played': 1710629697}",english,great,1710616976,1710616976,True,0,0,0,0,True,False,True,True,
274,160695039,"{'steamid': '76561198836746629', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 1277, 'playtime_last_two_weeks': 1277, 'playtime_at_review': 1210, 'last_played': 1710620823}",english,dungeon master version of Pokemon,1710616773,1710616773,True,0,0,0,0,True,False,True,True,
275,160694909,"{'steamid': '76561199213126456', 'num_games_owned': 0, 'num_reviews': 11, 'playtime_forever': 1727, 'playtime_last_two_weeks': 1727, 'playtime_at_review': 1670, 'last_played': 1710620115}",english,Fun game especially with friends.,1710616648,1710616648,True,0,0,0,0,True,False,True,True,
276,160694766,"{'steamid': '76561198844847805', 'num_games_owned': 0, 'num_reviews': 27, 'playtime_forever': 1121, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1121, 'last_played': 1706623670}",schinese,"铺好床不睡觉，放好水不洗澡，做了几百片面包放着不吃，天天去吃浆果
造个门过不去，下个坡上不来，有病了不会自己吃药，没病了在墙边抽搐发呆
爱咋咋吧，伺候不起这群爹了",1710616534,1710616534,True,0,0,0,0,True,False,True,True,
277,160694647,"{'steamid': '76561199644312729', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 1012, 'playtime_last_two_weeks': 1012, 'playtime_at_review': 774, 'last_played': 1710661958}",schinese,买了孩子很喜欢吃,1710616443,1710616443,True,0,0,0,0,True,False,True,True,
278,160694504,"{'steamid': '76561198072788422', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 8820, 'playtime_last_two_weeks': 1231, 'playtime_at_review': 8559, 'last_played': 1710661672}",swedish,behöver mwe pals,1710616311,1710616311,True,0,0,0,0,True,False,True,True,
279,160694410,"{'steamid': '76561198930709428', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 1704, 'playtime_last_two_weeks': 1704, 'playtime_at_review': 1704, 'last_played': 1710612533}",russian,"Спасибо большое покетпаир, теперь у меня снова дико встает на покемонов лмао🥰

а теперь серьезно, игра на любителя и если вам нравится постоянный фарм ресов то думаю игра вам так же зайдет, но учтите что она на данный момент достаточно сырая и с огромным количеством багов. 
Хочу сказать несколько слов по поводу механик в этой игре, они абсолютно не сбалансированны. То есть в каком то направлении их СЛИШКОМ много(наглядный пример - уникальные возможности палов, их слишком много, хотя большинство из них это тупо всякие седла), а другом они отсутствуют почти вообще, например взаимодействие игрока с окружением. Ну серьезно, зачем мне седло на каждого второго пала(хотя тут скорее опять же на любителя). Насчёт разнообразия механик в игровом мире могу вам банально предложить предоставить больше возможностей исследования карты. Добавьте к примеру те же автомобили или самолёты(для топлива можно добавить нефтяные источники какие нибудь, которым так же можно придумать обширное применение) что бы можно было это делать с большим интересом. Самолеты можно сделать какими нибудь боевыми что бы из них там бомбы какие нибудь падали и убивали всё подряд. Кстати, отличная идея будет так же сделать разрушаемость всяким постройкам по типо домиков деревенских в которых люди живут. Так можно будет какие-нибудь рейды организовывать еа эти деревушки со своими палами и награды всякие получать. И пожалуйста, переработайте систему розыска! Серьезно, я ударил какого то нищего бродягу с 3 уровнем сидящего у костра и теперь за мной по всей карте будут гонятся вигиланты с 40 уровнем чтобы убить меня? бред! Да раз уж модельки чисто с покемонов слизали то слижите тут хотя бы с ГТА систему розыска(как она работает думаю объяснять не надо) О и да, Добавьте уже чёртову карту в дерево технологий!!! Мне знаете ли абсолютно не в кайф, что бы просто узнать где я нахожусь, заходить в энциклопедию палов где ничего толком на видно иди же вообще бежать в статуе для телепортации. 

Так, про предложения поговорили, а теперь самое веселое... Баги:)Их просто МНОГО!! очень много! нет люди, я серьезно, я человек весьма везучий и во всяких других играх мне со встречей с багами вообще не везет, но тут их реально много, и самый как по мне бесячий из них это ПРОХОД. ПЕРСОНАЖЕЙ. СКВОЗЬ. ТЕКСТУРЫ. Боже, сколько же я раз умирал из за этого тупого бага, банально, идет на твою базу рейд браконьеров и чимто случайно, один из них попадает в текстуры камня, дерева и просто терроризирует твоих палов пока они ничего не могут ему сделать! и приходится перезаходить в мир что бы этот чертила пропал. Или допустим самый популярный пример это когда твой пал телепортировался не к тебе а куда то за текстуры. И еще один смешной но не очень хороший баг, это баг с анимациями. Открыл инвентарь, с вероятностью 30% персонаж тупо будет в Т позе, тпхнулсч на базу, все палы тоже застыли в Т позе, смешно конщ, но думаю лучше будет без него.

в общем, я хотел расписать еще несколько волнующих меня вопросов, но они как по мне слишком мелкие будут для того что я написал иии думаю что разработчики исправят все баги, добавят больше интересных фич и механик НЕ только с палами и тогда игра просто зацветёт новыми красками и возможно обретет вторую волну популярности:)
а так мне она безумно нравится, за полторы недели уже 28 часов наиграл, капец....
ну чтож пойду дальше устраивать геноцид Ловандеров, бб",1710616237,1710616237,True,0,0,0,0,False,False,True,True,
280,160694278,"{'steamid': '76561198030370495', 'num_games_owned': 0, 'num_reviews': 23, 'playtime_forever': 4129, 'playtime_last_two_weeks': 1193, 'playtime_at_review': 4064, 'last_played': 1710620077}",english,"It's alright. Pretty fun, if a little janky, but more worthwhile than most games.",1710616139,1710616139,True,1,0,0.523809552192687988,0,False,True,True,True,
