recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,timestamp_dev_responded,developer_response
162350743,"{'steamid': '76561199305903642', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 502, 'playtime_last_two_weeks': 1, 'playtime_at_review': 501, 'last_played': 1712423905}",brazilian,"jogo maravilhoso
",1712423873,1712423873,True,0,0,0,0,False,True,False,True,,,
162090316,"{'steamid': '76561198391931819', 'num_games_owned': 0, 'num_reviews': 43, 'playtime_forever': 5, 'playtime_last_two_weeks': 0, 'playtime_at_review': 5, 'last_played': 1569571391}",english,"Here I will leave the cat,
friends who pass by can pet it and give it a thumbs up and awards
　　　 　　／＞　　フ
　　　 　　| 　_　 _ l
　 　　 　／` ミ＿xノ
　　 　 /　　　 　 |
　　　 /　 ヽ　　 ﾉ
　 　 │　　|　|　|
　／￣|　　 |　|　|
　| (￣ヽ＿_ヽ_)__)
　＼二つ",1712124666,1712124666,True,0,0,0,0,False,False,False,True,,,
161850824,"{'steamid': '76561199515538524', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 400, 'playtime_last_two_weeks': 81, 'playtime_at_review': 399, 'last_played': 1712112187}",english,"Good game, I recommend playing it. It's more realistic and overall pretty good. Although the UI isn't great, but it also isn't terrible. I got used to it pretty fast. Another thing, is that when you're in the game, you can't access any other app or website. Apparently pushing windows couldn't get me out of it. In order to go to chrome or brave with the game on, I had to completely shut the whole game off. But this might just be my computer.",1711853039,1711853039,True,0,0,0,0,False,True,False,True,,,
161816252,"{'steamid': '76561198962591640', 'num_games_owned': 97, 'num_reviews': 18, 'playtime_forever': 513, 'playtime_last_two_weeks': 513, 'playtime_at_review': 172, 'last_played': 1712397228}",english,"Me and my friend plays this game on our university computers. These computers are very slow and shitty. But they can handle this game easily. So we mostly play TDM 1v1. It is a fun game if you want to play it with friends. Because there are not so many players. I wonder when this game will be shut down, I hope it won't.",1711817040,1711817040,True,0,0,0,0,False,False,False,True,,,
161007581,"{'steamid': '76561198317113510', 'num_games_owned': 0, 'num_reviews': 11, 'playtime_forever': 2713, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2520, 'last_played': 1711032174}",english,"Not that many plays this...meybe cuz CHEATERS  are free to cheat...  1day lvl5 player plays like sh1t with K/D of 0.3
BOOM day2  bro makes 90% headhsots and have K/D of 4/0+  (still having under 5h playtime)
COOL COOL game come play it",1710954866,1710954866,False,0,0,0,0,False,False,False,True,,,
160576295,"{'steamid': '76561199222478882', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 92, 'playtime_last_two_weeks': 0, 'playtime_at_review': 33, 'last_played': 1710578274}",english,"
Here I will leave the cat, friends who pass by can pet it and give it a thumbs up and awards
　　　 　　／＞　　フ
　　　 　　| 　_　 _ l
　 　　 　／` ミ＿xノ
　　 　 /　　　 　 |
　　　 /　 ヽ　　 ﾉ
　 　 │　　|　|　|
　／￣|　　 |　|　|
　| (￣ヽ＿_ヽ_)__)
　＼二つ",1710500660,1710500660,True,2,0,0.541984736919403076,0,False,False,False,True,,,
160568406,"{'steamid': '76561199037712587', 'num_games_owned': 81, 'num_reviews': 21, 'playtime_forever': 10, 'playtime_last_two_weeks': 0, 'playtime_at_review': 10, 'last_played': 1710489082}",english,map is horrible you shoot them at spawn and they have spawn protection on and 1 shot you at anytime,1710489163,1710489163,False,0,2,0.476190477609634399,0,False,False,False,True,,,
160480976,"{'steamid': '76561198095078745', 'num_games_owned': 170, 'num_reviews': 36, 'playtime_forever': 344, 'playtime_last_two_weeks': 0, 'playtime_at_review': 344, 'last_played': 1684561401}",brazilian,"De vez em quando eu entro torcendo para que a comunidade de enzos mimizentos não deixe um game tóxico a ponto dos demais players abandonarem.
Mas os FPS F2P estão morrendo no brasil, não restou mais nenhum bom para se jogar com a galera depois do trabalho, da escola, faculdade etc.
 Shatterline, Black Squad, Ironsight e Line of Sight... Até mesmo aquele lixo de warface que foi destruído pela própria My Games poderiam voltar!",1710375553,1710375553,True,0,0,0,0,False,False,False,True,,,
160117804,"{'steamid': '76561198023767526', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 529, 'playtime_last_two_weeks': 0, 'playtime_at_review': 504, 'last_played': 1709920088}",russian,"класс
",1709918582,1709918582,True,1,0,0.516539454460144043,0,False,False,False,True,,,
160055071,"{'steamid': '76561198327205690', 'num_games_owned': 188, 'num_reviews': 2441, 'playtime_forever': 13, 'playtime_last_two_weeks': 0, 'playtime_at_review': 13, 'last_played': 1708624259}",english,‎,1709838181,1709838181,True,2,0,0.527107179164886475,0,False,False,False,True,,,
159942726,"{'steamid': '76561198771505647', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 92710, 'playtime_last_two_weeks': 110, 'playtime_at_review': 92598, 'last_played': 1712023615}",spanish,"es un juego excelente, te dara horas de divercion mas si lo juegas con amigos",1709691336,1709691336,True,1,0,0.516539454460144043,0,False,True,False,True,,,
158951647,"{'steamid': '76561199621779689', 'num_games_owned': 0, 'num_reviews': 7, 'playtime_forever': 1869, 'playtime_last_two_weeks': 29, 'playtime_at_review': 988, 'last_played': 1712089172}",spanish,"Es un juego increíblemente bueno para ser GRATIS. Y por ser de acceso público este juego se debería llamar:
""Line of HAC K"". Si quieres pasar un buen rato de estrés por lo injusto que se torna esta cosa por la cantidad absurda de HACK ERS, definitivamente te recomiendo este juego.
PSDT: Ahora tengo contracturas musculares, cáncer de estómago e insomnio. Gracias, Line of HAC K",1708584948,1708584948,True,0,0,0,0,False,False,False,True,,,
158383304,"{'steamid': '76561199315808069', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 979, 'playtime_last_two_weeks': 0, 'playtime_at_review': 183, 'last_played': 1709223485}",turkish,Gayet güzel bir oyun ve emsallerini aratmayacak kalitede. Üstelik düşük sistemler için harika. Ayrıca neden CS ya da Valorant gibi meşhur değil anlayamadım. Çünkü bana göre onlarla kapışabilecek kapasitede.,1708012928,1708012928,True,1,0,0.523809552192687988,0,False,True,False,True,,,
158322495,"{'steamid': '76561198144234235', 'num_games_owned': 18, 'num_reviews': 4, 'playtime_forever': 2528, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2137, 'last_played': 1708121779}",brazilian,25,1707936205,1707936205,True,0,0,0,0,False,False,False,True,,,
158154112,"{'steamid': '76561198266971835', 'num_games_owned': 9, 'num_reviews': 1, 'playtime_forever': 7937, 'playtime_last_two_weeks': 142, 'playtime_at_review': 7115, 'last_played': 1711975311}",portuguese,yup,1707741128,1707741128,True,0,0,0,0,False,False,False,True,,,
