recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,timestamp_dev_responded,developer_response
126462508,"{'steamid': '76561198091604298', 'num_games_owned': 1150, 'num_reviews': 12, 'playtime_forever': 5, 'playtime_last_two_weeks': 0, 'playtime_at_review': 5, 'last_played': 1669231867}",spanish,"Juego Basura, no comprar",1669236655,1669236655,False,1,0,0.523809552192687988,0,False,False,False,True,,,
83054998,"{'steamid': '76561198041611973', 'num_games_owned': 0, 'num_reviews': 51, 'playtime_forever': 17, 'playtime_last_two_weeks': 0, 'playtime_at_review': 17, 'last_played': 1608830968}",english,"Tried to play via the HTC vive and it seems this game is broken or just doesnt work on the vive like it says it does on the store page. Game loads for some reason showing 10pts on the score board even though I havent done anything yet. There is an arrow pointing at one of the toys but you are unable to grab it or interact with anything. Not even the sling. There is no start button. No menu. No means of starting the game. I can close and open my hands but thats it.

So for this reason, its a no from me.",1608831147,1608831147,False,0,0,0,0,True,False,False,False,,,
75848537,"{'steamid': '76561198310533302', 'num_games_owned': 0, 'num_reviews': 489, 'playtime_forever': 9, 'playtime_last_two_weeks': 0, 'playtime_at_review': 9, 'last_played': 1599914575}",russian,"Вроде и милый визуал и сюжет, если стрельбу из рогатки можно так назвать. Я бы позанималась ерундой. Однако я оказалась внутри ничем не оправданного пустой локации, где до этой рогатки даже не 2, а 2,5 метра. Пришлось просто прошагать вперед. И это, к сожелению, почти выходит за размеры моего игрового пространства. Считаю игру недоработанной. А так красиво.",1599914956,1599914956,False,0,0,0,0,True,False,False,False,,,
54471003,"{'steamid': '76561198811822632', 'num_games_owned': 699, 'num_reviews': 834, 'playtime_forever': 115, 'playtime_last_two_weeks': 0, 'playtime_at_review': 90, 'last_played': 1565015617}",brazilian,recomendo.,1565015554,1565015554,True,0,0,0,0,False,False,False,False,,,
48482687,"{'steamid': '76561198093205719', 'num_games_owned': 0, 'num_reviews': 3, 'playtime_forever': 1, 'playtime_last_two_weeks': 0, 'playtime_at_review': 6, 'last_played': 1548129986}",english,"This game is soo lovely. Being a santa is so much fun. Even though christmas is gone, I feel like I am sending gifts to all the kids who need them. The gifts are designed really well and gameplay is more fun than challenge. Looking for more updates. Wish they will add some new feature next year.",1548133904,1548133904,True,0,0,0,0,False,False,False,False,,,
48063431,"{'steamid': '76561197965467305', 'num_games_owned': 5877, 'num_reviews': 312, 'playtime_forever': 6, 'playtime_last_two_weeks': 0, 'playtime_at_review': 6, 'last_played': 1546315786}",english,This could become a fun game. Right now there isnt enough to this game to play it for more than a few minutes.,1546503231,1546503231,True,1,0,0.519230782985687256,0,True,False,False,False,,,
45654507,"{'steamid': '76561198194680793', 'num_games_owned': 3045, 'num_reviews': 1947, 'playtime_forever': 106, 'playtime_last_two_weeks': 0, 'playtime_at_review': 106, 'last_played': 1541497088}",russian,"Почувствуйте себя в шкуре Санта-Клауса и доставьте все подарки детишкам. Геймплей прост. Запускаем игрушки с рогатки, стараясь попасть в двигающиеся кольца. Поначалу увлекает, но потом начинает приедаться. Всё это выглядит, как некое демо, показывающее возможности VR. На полноценную игру не тянет.",1541512171,1541512171,False,5,0,0.579006969928741455,0,False,False,False,False,,,
38387770,"{'steamid': '76561198056623369', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 10, 'playtime_last_two_weeks': 0, 'playtime_at_review': 10, 'last_played': 1513370310}",english,This game is disapointing. Not actually a true VR game. The sleight dosn't move - it just stays put. Not fun for more than a few shots!,1513548983,1513548983,False,0,0,0,0,True,False,False,False,,,
37585633,"{'steamid': '76561197976892493', 'num_games_owned': 873, 'num_reviews': 41, 'playtime_forever': 9, 'playtime_last_two_weeks': 0, 'playtime_at_review': 9, 'last_played': 1511642171}",english,"Didn't work on Dell Visor VR. You can get into the sleigh, but you can't interact with anything.",1511645048,1511645048,False,1,0,0.51095128059387207,0,True,False,False,False,,1512073405.0,"Sorry you're having trouble!

We are aware of this issue and will likely fix it at some point in the future, however we do not have any immediate plans to do so. 

We did not mark Santa Sling as compatible with Windows MR for this reason."
31926691,"{'steamid': '76561198003372763', 'num_games_owned': 0, 'num_reviews': 11, 'playtime_forever': 33, 'playtime_last_two_weeks': 0, 'playtime_at_review': 33, 'last_played': 1483140991}",english,"I absolutely love Christmas and the atmosphere I recieved from this game puts me right back into the Christmas spirit. Though the game may be simple it's definetly entertaining, especially when you have friends taking turns. Also launching the wrong presents was amusing :P",1495586836,1495586836,True,1,0,0,0,False,False,False,False,,,
31117534,"{'steamid': '76561198064106555', 'num_games_owned': 4616, 'num_reviews': 542, 'playtime_forever': 5, 'playtime_last_two_weeks': 0, 'playtime_at_review': 5, 'last_played': 1492093694}",english,"Maybe if you are 8 and your parents told you that Santa is fake news...

... for the rest. No.

[i] Twitch Channel : https://www.twitch.tv/mrorange55
Youtube Channel : https://www.youtube.com/channel/UC1UE5TPoF0HX0HVpF_E4uPQ/videos?view_as=subscriber [/i]",1492093863,1514724785,False,4,0,0.516481637954711914,0,False,False,False,False,,,
30226504,"{'steamid': '76561198001119818', 'num_games_owned': 557, 'num_reviews': 17, 'playtime_forever': 6, 'playtime_last_two_weeks': 0, 'playtime_at_review': 6, 'last_played': 1488223367}",english,"This is an adorable little game which unfortunately do not seem to work for me. My big fluffy santa hands are unable able to click ""continue"" or ""play again"" after I have finished the first few deliveries, and as such my game play is quite limited. 

Another problem is that even though the steam page claims the game only requires 2m x 1.5m play area, the game actually requires a larger play area, my guess being around 2.5m x 2m. Keep this in mind.

However, the game is very cute and I actually find myself feeling like Santa deep inside. It makes me find the generosity and love for children that I did not know I possesed. Delivering my first VR headset was a particular great moment.

Wait a few patches, snatch it on sale and be the worlds most loved person for a night.",1488224557,1488224557,False,1,1,0.526901662349700928,0,False,False,False,False,,,
30037413,"{'steamid': '76561198020445786', 'num_games_owned': 1090, 'num_reviews': 231, 'playtime_forever': 7, 'playtime_last_two_weeks': 0, 'playtime_at_review': 7, 'last_played': 1487517120}",english,"Warning.... You need need a large play area, make sure you have the required space. 

It's a simple game, it's an easy game, it's a borning game. And it's not worth £5.99. Fortunately I got this in a VR bundle so it was about 50p. Though quite honestly this should be a free game. Kids will enjoy this for a bit, but there really isn't much going on, they'll get bored too. The premise is using the sling to launch the requested presents to the marked house. No  skill needed, a visual arc shows you're shot.

This is one of those VR titles you'll try once, and never come back too.",1487517610,1487517610,False,7,0,0.633943498134613037,0,False,False,False,False,,,
