recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,timestamp_dev_responded,developer_response
35237070,"{'steamid': '76561198031767908', 'num_games_owned': 0, 'num_reviews': 42, 'playtime_forever': 21, 'playtime_last_two_weeks': 0, 'playtime_at_review': 21, 'last_played': 1497666587}",english,"Abandoned.

Could've been great if they stuck around to fix the bugs instead of just giving up. Oh well...",1506496317,1506496317,False,8,0,0.652096211910247803,0,True,False,True,False,,,
28405516,"{'steamid': '76561198016096893', 'num_games_owned': 11947, 'num_reviews': 1422, 'playtime_forever': 77, 'playtime_last_two_weeks': 0, 'playtime_at_review': 77, 'last_played': 1481901484}",russian,"Данная игра является своего рода песочницей, вот только она не 3D с открытым миром, к которым мы пиривыкли, а выполнена в 2D. Но геймплей и зачдачи стаются те же, здесь нужно выжить, но выжить не просто, так как вам будеду в этом мешать много случайностей.

По поводу графической составляеший и музыкального сопровождения игра выполнена качественно, хоть она и в раннем доступе, но уже можно играть не замечаея этого.

А вот достижений в игре не хватает, возможно разработчик их добавит в будущем, по крайней мере будем на это надеяться)",1481898153,1481898153,True,5,0,0.374199599027633667,0,False,False,True,False,,,
28395053,"{'steamid': '76561197960677714', 'num_games_owned': 2155, 'num_reviews': 96, 'playtime_forever': 26, 'playtime_last_two_weeks': 0, 'playtime_at_review': 26, 'last_played': 1481839856}",english,"Dont buy it...just dont!
It is so bugged you will not even finish the tutorial.
It is a MESS what Steam releases these days. :(
I am refunding nearly every 2nd game and so will this piece of sh...abalabadooodaa.

Trust me...the trailer shows NOTHING what this game can do.
It starts with the movement and switching the charakter....basefeatures of EVERY game that should possible work to play the game are just fu....doodelliidoodeeld!

Everyone who buys this game anyway even after reading my review: You will come back here really soon and I will say to you ""I SAID YOU SHOULD NOT!"". :)
To every other gamer who dont buys this game: ""YOU ARE A WISE MAN/WOMAN!""",1481840374,1481840374,False,9,1,0.342317849397659302,3,True,False,True,False,,,
