date,compound,neg,neu,pos
2015-06,2045,181,4053,69
2015-07,656,37,839,36
2015-08,194,16,273,18
2015-09,213,8,296,13
2015-10,318,29,583,25
2015-11,319,24,431,11
2015-12,200,6,162,17
2016-01,126,7,164,10
2016-02,217,2,232,22
2016-03,112,4,111,7
2016-04,120,2,104,9
2016-05,105,1,90,12
2016-06,176,3,151,27
2016-07,241,5,196,19
2016-08,203,8,186,22
2016-09,227,4,188,13
2016-10,105,2,95,12
2016-11,344,5,270,54
2016-12,154,5,143,14
2017-01,138,1,129,16
2017-02,66,2,74,15
2017-03,79,4,66,5
2017-04,81,3,73,14
2017-05,77,0,82,10
2017-06,111,4,117,25
2017-07,109,4,101,25
2017-08,92,5,105,9
2017-09,68,5,49,7
2017-10,93,4,81,19
2017-11,186,8,149,39
2017-12,84,2,88,19
2018-01,70,1,74,10
2018-02,48,0,68,8
2018-03,58,3,79,7
2018-04,39,0,41,5
2018-05,65,1,71,14
2018-06,55,3,65,14
2018-07,69,2,81,11
2018-08,88,3,80,15
2018-09,53,4,74,11
2018-10,81,1,74,6
2018-11,186,5,141,66
2018-12,75,2,73,19
2019-01,58,2,65,10
2019-02,53,4,56,6
2019-03,51,2,48,6
2019-04,36,1,48,10
2019-05,54,3,33,13
2019-06,206,4,219,100
2019-07,206,11,198,79
2019-08,49,0,51,5
2019-09,43,3,58,5
2019-10,75,2,80,29
2019-11,185,8,239,110
2019-12,168,10,159,85
2020-01,139,4,122,62
2020-02,85,10,115,66
2020-03,122,9,157,67
2020-04,172,8,206,99
2020-05,139,7,158,86
2020-06,138,3,185,69
2020-07,199,10,273,113
2020-08,192,11,251,138
2020-09,186,18,219,92
2020-10,161,8,151,81
2020-11,148,10,189,88
2020-12,151,8,198,90
2021-01,154,11,188,100
2021-02,144,4,187,90
2021-03,136,10,192,91
2021-04,157,12,212,100
2021-05,124,8,184,65
2021-06,152,9,212,90
2021-07,195,21,289,109
2021-08,132,9,188,102
2021-09,116,5,170,81
2021-10,180,19,306,153
2021-11,171,17,230,108
2021-12,156,22,271,125
2022-01,183,20,315,135
2022-02,132,16,262,117
2022-03,228,24,569,248
2022-04,216,29,480,242
2022-05,169,17,308,126
2022-06,130,14,273,119
2022-07,175,16,381,160
2022-08,191,26,412,153
2022-09,131,10,231,94
2022-10,190,25,379,142
2022-11,240,15,400,133
2022-12,203,14,309,124
2023-01,168,17,310,102
2023-02,158,12,298,115
2023-03,178,14,275,108
2023-04,135,23,304,94
2023-05,108,9,239,94
2023-06,145,11,300,100
2023-07,219,27,503,186
2023-08,164,19,398,123
2023-09,118,19,260,81
2023-10,175,22,395,139
2023-11,249,26,501,198
2023-12,212,20,429,155
2024-01,212,30,440,150
2024-02,331,82,886,233
2024-03,212,26,550,182
