date,compound,neg,neu,pos
2014-04,37,1,54,5
2014-05,26,2,39,5
2014-06,36,1,39,5
2014-07,9,1,12,1
2014-08,10,1,15,0
2014-09,3,1,9,1
2014-10,9,0,28,3
2014-11,6,0,8,0
2014-12,6,1,17,3
2015-01,10,1,9,0
2015-02,5,1,8,1
2015-03,12,0,19,2
2015-04,9,0,10,3
2015-05,12,0,15,1
2015-06,5,0,22,1
2015-07,10,1,15,1
2015-08,3,0,4,0
2015-09,2,1,2,2
2015-10,5,2,28,3
2015-11,4,0,8,0
2015-12,6,0,17,1
2016-01,3,0,12,1
2016-02,5,0,7,0
2016-03,8,2,16,0
2016-04,1,0,9,0
2016-05,3,1,4,1
2016-06,4,0,11,0
2016-07,1,0,4,0
2016-08,1,0,3,2
2016-09,1,0,3,0
2016-10,0,0,2,0
2016-11,5,0,10,2
2016-12,2,0,8,1
2017-01,1,0,3,1
2017-02,1,0,4,1
2017-03,5,0,5,0
2017-04,0,0,6,1
2017-05,2,0,7,0
2017-06,5,0,6,1
2017-07,4,1,4,1
2017-08,5,0,8,0
2017-09,5,1,4,1
2017-10,0,1,4,0
2017-11,3,0,3,1
2017-12,10,0,5,1
2018-01,3,0,5,3
2018-02,3,1,3,0
2018-03,5,0,7,0
2018-04,3,0,3,0
2018-05,1,0,3,1
2018-06,4,1,7,1
2018-07,2,0,4,0
2018-08,2,0,1,0
2018-10,1,0,3,1
2018-11,7,0,5,0
2018-12,2,0,3,0
2019-01,0,0,4,0
2019-02,0,0,4,1
2019-03,3,0,3,1
2019-04,0,0,3,0
2019-05,2,0,1,0
2019-06,3,0,7,2
2019-07,3,1,5,4
2019-08,1,0,0,1
2019-10,1,0,0,0
2019-11,3,2,4,2
2019-12,1,2,2,1
2020-01,5,0,0,3
2020-02,3,1,5,1
2020-03,1,1,6,4
2020-04,2,1,2,0
2020-05,2,0,1,1
2020-06,1,0,3,1
2020-07,2,0,5,1
2020-08,2,0,2,3
2020-09,2,1,2,1
2020-10,1,1,1,1
2020-11,2,0,1,1
2020-12,2,2,4,1
2021-01,4,0,5,1
2021-02,3,1,0,1
2021-03,0,1,3,2
2021-04,5,0,4,0
2021-05,1,0,2,2
2021-06,2,0,1,1
2021-07,4,0,6,0
2021-08,1,1,0,1
2021-09,1,0,2,0
2021-10,1,0,3,0
2021-11,2,2,1,0
2021-12,0,1,3,0
2022-01,1,0,6,3
2022-02,0,0,5,0
2022-03,0,0,4,1
2022-04,1,0,1,1
2022-05,2,0,5,2
2022-06,2,0,4,1
2022-07,1,0,3,1
2022-08,2,1,4,0
2022-09,0,0,3,1
2022-10,3,0,1,0
2022-11,0,0,4,2
2022-12,1,0,3,2
2023-01,1,0,6,1
2023-02,0,0,4,1
2023-03,5,1,10,1
2023-04,4,0,7,0
2023-05,6,0,12,1
2023-06,4,0,4,1
2023-07,2,0,3,4
2023-08,3,0,3,0
2023-09,0,0,2,1
2023-10,1,0,1,0
2023-11,1,0,3,0
2023-12,2,0,4,0
2024-01,2,0,1,0
2024-02,2,2,7,0
2024-03,1,0,5,2
