date,compound,neg,neu,pos
2015-01,123,0,79,7
2015-02,1202,30,1348,137
2015-03,457,18,560,68
2015-04,232,9,292,46
2015-05,191,8,223,27
2015-06,201,8,275,36
2015-07,141,13,199,35
2015-08,136,4,178,34
2015-09,91,6,114,19
2015-10,95,7,96,18
2015-11,82,3,111,24
2015-12,202,20,218,47
2016-01,109,4,138,29
2016-02,98,6,104,11
2016-03,89,3,101,8
2016-04,68,5,96,24
2016-05,72,3,63,11
2016-06,80,4,108,16
2016-07,76,5,69,17
2016-08,71,2,53,8
2016-09,62,5,49,12
2016-10,38,3,50,9
2016-11,177,8,168,43
2016-12,75,1,65,14
2017-01,92,5,101,16
2017-02,51,3,39,13
2017-03,41,0,35,5
2017-04,88,3,83,31
2017-05,45,3,53,17
2017-06,59,1,77,21
2017-07,58,3,88,17
2017-08,35,4,43,16
2017-09,44,4,35,12
2017-10,50,2,53,17
2017-11,74,9,115,25
2017-12,134,7,148,32
2018-01,46,6,61,22
2018-02,32,5,53,6
2018-03,49,1,51,12
2018-04,36,3,51,13
2018-05,25,1,38,15
2018-06,32,4,43,10
2018-07,32,6,37,5
2018-08,46,0,37,13
2018-09,51,1,46,23
2018-10,15,0,23,7
2018-11,148,5,148,55
2018-12,29,3,28,9
2019-01,28,3,30,8
2019-02,20,0,33,5
2019-03,17,0,16,6
2019-04,13,4,22,3
2019-05,11,2,26,5
2019-06,70,2,86,37
2019-07,98,6,106,50
2019-08,15,1,25,5
2019-09,14,3,13,2
2019-10,20,0,36,18
2019-11,100,8,94,84
2019-12,59,11,88,75
2020-01,51,8,88,56
2020-02,299,19,378,224
2020-03,135,14,210,101
2020-04,90,7,108,68
2020-05,49,3,81,46
2020-06,54,6,98,51
2020-07,47,2,94,47
2020-08,56,6,85,49
2020-09,33,3,58,32
2020-10,39,6,66,34
2020-11,228,17,342,222
2020-12,56,9,92,61
2021-01,64,6,81,44
2021-02,38,10,78,31
2021-03,50,5,69,41
2021-04,30,2,63,38
2021-05,36,8,57,38
2021-06,30,8,60,28
2021-07,28,5,65,29
2021-08,29,3,54,24
2021-09,26,0,48,33
2021-10,19,2,49,22
2021-11,24,4,29,24
2021-12,33,5,55,21
2022-01,29,3,76,43
2022-02,27,9,49,27
2022-03,18,3,42,29
2022-04,18,1,37,18
2022-05,20,3,70,17
2022-06,61,14,106,71
2022-07,38,2,57,23
2022-08,20,7,56,22
2022-09,21,1,41,30
2022-10,17,3,28,17
2022-11,32,5,50,20
2022-12,19,5,64,24
2023-01,22,8,53,17
2023-02,22,6,45,24
2023-03,21,8,45,23
2023-04,21,3,31,19
2023-05,29,3,60,24
2023-06,18,2,32,23
2023-07,24,5,57,17
2023-08,18,3,40,21
2023-09,13,3,41,18
2023-10,28,4,48,18
2023-11,36,8,62,26
2023-12,25,8,56,28
2024-01,29,4,59,31
2024-02,20,7,38,20
2024-03,27,1,43,24
2024-04,6,2,7,1
