date,compound,neg,neu,pos
2014-02,1101,27,899,78
2014-03,690,13,656,71
2014-04,273,4,202,19
2014-05,135,3,94,12
2014-06,522,9,516,63
2014-07,236,5,213,18
2014-08,128,2,120,4
2014-09,86,4,127,8
2014-10,91,7,121,9
2014-11,252,7,267,16
2014-12,265,8,283,23
2015-01,155,3,191,17
2015-02,161,5,160,14
2015-03,154,6,158,11
2015-04,70,5,84,10
2015-05,102,4,94,9
2015-06,204,6,281,15
2015-07,87,9,113,7
2015-08,88,1,77,6
2015-09,62,6,60,6
2015-10,62,1,68,4
2015-11,173,7,164,16
2015-12,144,6,133,10
2016-01,133,7,136,20
2016-02,98,3,111,12
2016-03,71,5,63,12
2016-04,56,1,57,8
2016-05,76,2,69,9
2016-06,74,4,109,6
2016-07,86,1,92,13
2016-08,61,1,76,9
2016-09,52,0,53,9
2016-10,51,3,55,8
2016-11,205,4,256,42
2016-12,104,3,114,14
2017-01,139,9,152,18
2017-02,67,2,68,6
2017-03,60,1,58,7
2017-04,49,3,56,5
2017-05,62,2,64,4
2017-06,121,2,118,18
2017-07,143,5,143,21
2017-08,64,2,63,7
2017-09,61,2,63,10
2017-10,53,1,63,12
2017-11,186,8,166,28
2017-12,132,4,118,15
2018-01,83,5,81,15
2018-02,64,4,57,7
2018-03,63,3,51,5
2018-04,51,1,35,4
2018-05,42,3,37,3
2018-06,46,2,50,11
2018-07,63,4,91,10
2018-08,42,0,34,3
2018-09,40,0,45,7
2018-10,24,0,36,6
2018-11,78,4,90,16
2018-12,52,1,72,8
2019-01,60,3,32,6
2019-02,37,0,27,4
2019-03,38,3,37,10
2019-04,29,3,34,5
2019-05,31,1,25,6
2019-06,125,4,123,26
2019-07,138,6,156,37
2019-08,21,0,21,6
2019-09,47,2,45,6
2019-10,57,1,51,9
2019-11,209,12,194,84
2019-12,177,4,185,68
2020-01,165,7,133,65
2020-02,123,7,114,51
2020-03,122,8,122,51
2020-04,121,5,133,51
2020-05,99,2,86,42
2020-06,94,1,119,39
2020-07,81,5,91,31
2020-08,78,4,83,21
2020-09,79,5,71,31
2020-10,62,4,97,28
2020-11,143,5,115,41
2020-12,99,1,94,41
2021-01,77,1,92,38
2021-02,69,6,66,28
2021-03,72,1,66,28
2021-04,63,5,77,31
2021-05,70,2,62,19
2021-06,47,4,69,20
2021-07,79,1,72,31
2021-08,60,1,67,24
2021-09,87,4,82,28
2021-10,48,6,52,18
2021-11,73,4,92,25
2021-12,62,8,65,29
2022-01,65,4,64,32
2022-02,39,2,48,23
2022-03,37,2,57,17
2022-04,52,2,40,20
2022-05,42,1,40,18
2022-06,51,5,46,17
2022-07,47,1,52,9
2022-08,55,1,69,19
2022-09,30,3,48,16
2022-10,42,1,47,21
2022-11,42,3,50,25
2022-12,44,3,59,22
2023-01,47,3,54,21
2023-02,33,4,39,12
2023-03,49,2,44,13
2023-04,26,3,46,13
2023-05,19,1,35,9
2023-06,29,1,27,13
2023-07,34,2,43,14
2023-08,29,2,36,12
2023-09,41,0,51,20
2023-10,37,0,51,13
2023-11,38,2,50,17
2023-12,41,4,47,18
2024-01,42,1,43,20
2024-02,32,0,31,10
2024-03,19,1,22,10
