date,compound,neg,neu,pos
2015-09,0,0,1,0
2015-10,1,0,0,0
2015-12,4,0,2,0
2016-01,3,0,3,0
2016-02,8,0,4,1
2016-03,4,0,2,0
2016-04,18,0,21,2
2016-05,7,0,3,2
2016-06,22,2,20,2
2016-07,11,0,3,0
2016-08,18,1,11,2
2016-09,8,0,5,1
2016-10,1,1,4,1
2016-11,17,0,12,0
2016-12,4,1,7,1
2017-01,20,1,9,0
2017-02,3,0,1,1
2017-03,4,0,3,0
2017-04,10,0,12,1
2017-05,2,0,2,1
2017-06,23,0,12,5
2017-07,7,0,4,3
2017-08,2,0,1,0
2017-09,2,1,0,2
2017-10,1,0,3,1
2017-11,8,0,2,4
2017-12,4,0,6,1
2018-01,5,0,2,0
2018-02,6,0,7,0
2018-03,4,0,3,0
2018-04,2,0,1,0
2018-05,2,0,2,1
2018-06,2,0,3,1
2018-07,4,0,3,0
2018-08,3,0,0,0
2018-09,1,0,0,0
2018-10,2,0,2,0
2018-11,2,0,4,1
2018-12,1,0,0,0
2019-02,1,0,0,1
2019-03,3,0,0,0
2019-04,0,0,1,1
2019-05,2,1,4,0
2019-06,7,0,1,1
2019-07,1,0,3,1
2019-08,2,0,0,0
2019-09,1,0,0,0
2019-10,15,0,11,4
2019-11,2,0,4,2
2019-12,7,0,10,2
2020-01,3,0,5,1
2020-02,1,0,0,1
2020-03,8,0,4,2
2020-04,5,0,4,0
2020-05,1,0,2,2
2020-06,1,0,5,1
2020-07,3,0,2,2
2020-08,2,0,1,0
2020-09,3,0,1,0
2020-10,1,0,1,0
2020-11,3,0,3,0
2020-12,5,0,11,3
2021-01,4,0,1,0
2021-02,2,0,1,1
2021-03,0,0,2,0
2021-04,0,0,1,1
2021-05,3,0,2,0
2021-06,3,0,2,2
2021-07,3,1,2,2
2021-08,1,0,3,0
2021-10,0,0,1,1
2021-11,0,0,2,0
2022-02,1,0,0,1
2022-03,0,0,2,0
2022-04,1,0,0,0
2022-05,0,1,1,2
2022-06,1,0,1,0
2022-07,0,0,2,0
2022-08,0,0,1,1
2022-09,0,0,0,1
2022-10,1,0,0,0
2022-12,2,0,1,1
2023-01,0,0,6,1
2023-02,0,0,2,0
2023-03,1,0,1,0
2023-04,1,0,1,1
2023-05,3,0,0,0
2023-06,1,0,0,0
2023-07,0,0,1,0
2023-08,2,0,0,0
2023-09,1,0,0,1
2023-10,2,0,2,0
2023-11,0,0,2,0
2023-12,0,0,1,0
2024-03,1,0,0,1
