date,compound,neg,neu,pos
2022-01,299,78,712,270
2022-02,452,140,1098,479
2022-03,369,157,1146,421
2022-04,327,93,879,270
2022-05,208,47,615,158
2022-06,164,50,418,105
2022-07,176,51,398,130
2022-08,225,50,501,141
2022-09,188,57,478,174
2022-10,152,49,359,120
2022-11,164,36,429,143
2022-12,205,56,459,145
2023-01,242,65,600,197
2023-02,173,53,466,150
2023-03,186,48,477,171
2023-04,161,37,373,126
2023-05,161,35,321,117
2023-06,157,28,348,117
2023-07,356,92,922,294
2023-08,240,67,560,177
2023-09,228,50,567,200
2023-10,201,39,456,137
2023-11,218,45,482,189
2023-12,240,55,571,213
2024-01,227,55,590,220
2024-02,320,85,799,255
2024-03,305,85,820,297
2024-04,53,14,136,56
