date,compound,neg,neu,pos
2017-04,8,0,8,0
2017-05,2,0,2,0
2017-06,2,0,2,0
2017-07,1,0,0,0
2017-08,2,0,1,0
2017-09,0,0,1,0
2017-10,0,0,1,0
2017-11,0,0,1,0
2017-12,1,0,2,0
2018-01,3,1,2,0
2018-02,1,0,0,0
2018-03,0,0,1,0
2018-04,0,0,1,0
2018-05,0,0,2,0
2018-06,1,0,2,0
2018-07,3,0,0,1
2018-08,3,0,1,0
2018-09,1,0,1,0
2018-10,0,0,1,0
2018-11,2,0,1,0
2018-12,2,0,1,0
2019-01,0,2,3,0
2019-02,0,0,1,0
2019-03,1,0,1,0
2019-04,0,0,0,1
2019-06,3,0,2,0
2019-07,0,0,2,1
2019-08,1,0,2,0
2019-09,1,0,0,0
2019-10,0,0,3,0
2019-11,3,0,4,0
2019-12,0,0,3,1
2020-01,0,1,2,0
2020-02,1,0,0,0
2020-04,1,0,2,0
2020-05,1,1,1,0
2020-06,0,0,3,0
2020-07,1,0,0,0
2020-08,2,1,1,0
2020-09,1,1,1,0
2020-10,1,0,2,0
2020-11,1,0,1,0
2020-12,0,0,1,0
2021-01,0,0,2,1
2021-02,1,1,2,0
2021-03,1,1,0,1
2021-04,1,0,3,0
2021-05,1,0,2,0
2021-06,0,0,3,0
2021-07,0,0,2,0
2021-08,0,0,1,0
2021-09,0,1,1,0
2021-10,1,1,0,1
2021-11,3,0,2,1
2021-12,1,0,4,0
2022-01,1,0,3,0
2022-02,1,0,1,0
2022-05,0,0,1,0
2022-07,0,0,2,1
2022-10,3,0,2,0
2022-12,1,1,3,1
2023-01,3,0,1,0
2023-02,0,0,0,1
2023-03,0,0,2,0
2023-04,1,0,0,0
2023-07,1,0,1,0
2023-09,0,0,1,0
2023-11,0,0,2,0
2023-12,0,0,0,1
2024-02,0,0,2,1
2024-03,0,0,1,0
