date,compound,neg,neu,pos
2016-11,1,0,2,0
2017-01,0,0,1,0
2017-02,0,0,2,0
2017-03,1,0,0,0
2017-04,0,0,1,0
2017-05,0,0,0,1
2017-06,0,0,3,1
2017-07,2,0,3,0
2017-08,0,0,3,0
2017-09,0,0,1,1
2017-10,1,0,0,0
2017-11,2,0,1,0
2017-12,0,0,1,1
2018-01,0,0,2,0
2018-03,0,1,1,0
2018-04,0,0,1,0
2018-06,1,0,0,0
2018-07,0,0,2,0
2018-10,1,0,1,0
2018-11,1,0,2,0
2018-12,0,1,0,0
2019-03,1,0,0,0
2019-04,1,0,0,0
2019-05,0,0,1,0
2019-06,0,0,1,0
2019-08,0,0,2,0
2019-12,0,0,1,0
2020-01,0,0,1,0
2020-05,0,0,1,0
2020-07,0,0,1,0
2020-08,0,0,2,0
2020-09,0,0,2,0
2020-10,0,0,1,0
2020-12,0,0,1,0
2021-02,1,0,0,0
2021-04,0,0,2,0
2021-05,0,0,1,0
2021-09,0,0,1,0
2022-03,0,0,1,0
2022-04,0,0,1,0
2022-07,0,0,1,0
2023-01,0,0,1,0
2023-02,0,0,0,1
2023-03,0,0,1,1
2023-06,0,0,1,1
2023-08,0,0,1,0
2023-12,0,0,1,0
2024-03,0,0,0,1
