date,compound,neg,neu,pos
2012-11,12,1,12,1
2012-12,38,2,43,2
2013-01,54,2,65,2
2013-02,13,0,3,3
2013-03,45,1,38,6
2013-04,11,2,12,2
2013-05,33,4,43,3
2013-06,83,6,86,8
2013-07,55,0,64,3
2013-08,18,1,28,2
2013-09,13,1,16,1
2013-10,21,0,18,0
2013-11,35,1,33,2
2013-12,178,9,143,14
2014-01,102,3,85,11
2014-02,49,0,39,5
2014-03,30,1,30,2
2014-04,65,1,57,4
2014-05,40,1,47,4
2014-06,91,5,82,9
2014-07,65,1,47,3
2014-08,33,1,37,1
2014-09,27,0,31,1
2014-10,31,3,28,0
2014-11,30,3,32,5
2014-12,42,2,47,3
2015-01,38,2,45,3
2015-02,22,0,23,4
2015-03,21,1,25,2
2015-04,27,1,12,4
2015-05,21,2,20,1
2015-06,121,2,107,6
2015-07,34,3,35,3
2015-08,28,2,19,1
2015-09,18,1,22,4
2015-10,27,1,32,3
2015-11,31,0,27,6
2015-12,37,2,43,1
2016-01,42,1,18,2
2016-02,27,3,27,2
2016-03,18,0,9,1
2016-04,15,1,21,3
2016-05,18,0,18,3
2016-06,28,2,18,3
2016-07,27,1,15,2
2016-08,20,0,13,2
2016-09,7,1,9,0
2016-10,22,1,19,2
2016-11,63,2,78,12
2016-12,22,0,32,2
2017-01,23,2,12,1
2017-02,18,0,12,1
2017-03,12,1,13,3
2017-04,15,0,14,1
2017-05,14,0,11,2
2017-06,20,0,18,1
2017-07,14,0,12,3
2017-08,9,1,13,2
2017-09,7,0,11,3
2017-10,8,0,5,5
2017-11,39,2,50,6
2017-12,14,1,16,3
2018-01,13,0,12,1
2018-02,6,0,6,0
2018-03,10,0,7,0
2018-04,6,0,6,0
2018-05,7,0,8,2
2018-06,20,1,20,4
2018-07,7,0,11,2
2018-08,7,0,6,1
2018-09,8,1,11,1
2018-10,9,0,3,0
2018-11,19,1,14,2
2018-12,4,0,5,1
2019-01,6,0,6,1
2019-02,5,0,6,3
2019-03,5,0,6,0
2019-04,3,0,5,0
2019-05,6,0,4,0
2019-06,21,2,22,3
2019-07,17,0,19,9
2019-08,3,0,10,4
2019-09,5,0,5,1
2019-10,5,1,5,3
2019-11,29,0,32,9
2019-12,50,2,44,17
2020-01,34,2,35,10
2020-02,12,2,16,10
2020-03,12,0,20,9
2020-04,48,4,44,18
2020-05,15,1,24,12
2020-06,22,1,22,6
2020-07,22,0,25,3
2020-08,10,2,16,7
2020-09,14,1,20,3
2020-10,15,0,10,5
2020-11,14,1,21,12
2020-12,29,3,30,11
2021-01,31,2,28,10
2021-02,17,2,16,5
2021-03,17,3,17,6
2021-04,9,1,14,8
2021-05,15,3,20,6
2021-06,18,3,24,5
2021-07,16,5,19,6
2021-08,15,5,12,7
2021-09,9,2,22,2
2021-10,12,1,13,7
2021-11,17,3,19,5
2021-12,59,8,87,21
2022-01,16,2,39,12
2022-02,16,1,21,8
2022-03,11,2,14,8
2022-04,9,0,20,3
2022-05,5,3,13,2
2022-06,15,0,28,3
2022-07,16,4,26,8
2022-08,5,2,13,4
2022-09,4,0,14,1
2022-10,8,1,15,1
2022-11,85,8,91,31
2022-12,67,10,103,24
2023-01,33,3,57,8
2023-02,12,2,24,7
2023-03,15,2,27,4
2023-04,10,1,18,3
2023-05,4,2,13,1
2023-06,16,1,15,3
2023-07,23,4,31,10
2023-08,9,2,25,4
2023-09,11,1,17,1
2023-10,12,4,17,3
2023-11,20,3,32,7
2023-12,27,2,55,15
2024-01,16,2,36,7
2024-02,11,1,19,4
2024-03,14,0,13,3
