date,compound,neg,neu,pos
2014-05,188,18,247,36
2014-06,241,21,335,73
2014-07,128,13,155,26
2014-08,77,10,110,37
2014-09,62,8,83,22
2014-10,54,7,88,15
2014-11,70,9,107,16
2014-12,51,7,93,14
2015-01,50,6,83,17
2015-02,64,8,82,16
2015-03,60,8,87,15
2015-04,45,6,97,13
2015-05,59,4,87,15
2015-06,63,9,85,13
2015-07,56,12,86,16
2015-08,56,4,84,10
2015-09,26,6,44,8
2015-10,37,4,51,13
2015-11,28,4,56,8
2015-12,37,5,73,11
2016-01,29,5,71,16
2016-02,29,3,51,11
2016-03,32,9,59,14
2016-04,27,7,52,7
2016-05,33,3,62,10
2016-06,27,3,66,14
2016-07,23,6,50,14
2016-08,40,5,62,9
2016-09,17,5,26,7
2016-10,21,3,29,0
2016-11,28,3,41,12
2016-12,28,2,32,4
2017-01,22,2,39,4
2017-02,22,3,38,8
2017-03,19,4,36,7
2017-04,33,3,44,12
2017-05,12,1,42,10
2017-06,21,4,34,9
2017-07,25,1,41,17
2017-08,17,2,33,4
2017-09,24,3,28,10
2017-10,22,1,24,4
2017-11,18,5,31,6
2017-12,11,0,35,7
2018-01,11,4,30,7
2018-02,16,1,30,7
2018-03,9,3,21,6
2018-04,8,1,22,3
2018-05,7,2,17,5
2018-06,26,3,38,6
2018-07,14,2,23,2
2018-08,8,3,18,4
2018-09,6,0,8,7
2018-10,5,1,13,5
2018-11,14,4,16,7
2018-12,8,1,29,3
2019-01,9,1,22,7
2019-02,4,1,8,1
2019-03,12,0,14,4
2019-04,19,2,37,5
2019-05,5,4,9,4
2019-06,28,5,25,17
2019-07,21,5,30,15
2019-08,12,1,22,3
2019-09,3,1,10,1
2019-10,11,4,16,6
2019-11,41,7,83,50
2019-12,21,3,53,28
2020-01,12,2,31,25
2020-02,14,2,29,19
2020-03,16,2,45,20
2020-04,21,4,35,23
2020-05,21,1,44,15
2020-06,10,1,33,22
2020-07,13,2,41,20
2020-08,13,1,36,19
2020-09,6,3,26,10
2020-10,16,4,23,5
2020-11,9,2,31,13
2020-12,22,7,27,12
2021-01,14,1,36,14
2021-02,15,4,45,14
2021-03,11,4,31,7
2021-04,16,4,29,10
2021-05,17,6,30,10
2021-06,12,5,31,9
2021-07,12,2,37,11
2021-08,10,5,36,16
2021-09,15,8,42,16
2021-10,22,3,24,17
2021-11,9,4,30,14
2021-12,12,5,23,6
2022-01,15,6,38,7
2022-02,12,5,36,3
2022-03,11,3,20,15
2022-04,16,5,26,11
2022-05,9,4,36,8
2022-06,13,6,36,10
2022-07,12,6,37,13
2022-08,9,2,25,5
2022-09,14,2,17,3
2022-10,7,0,17,7
2022-11,6,1,25,8
2022-12,12,3,24,4
2023-01,12,2,22,4
2023-02,10,1,21,5
2023-03,7,0,18,2
2023-04,8,3,15,4
2023-05,21,5,30,14
2023-06,18,5,55,15
2023-07,9,5,32,20
2023-08,12,3,31,9
2023-09,5,1,18,5
2023-10,12,2,22,9
2023-11,7,5,27,7
2023-12,5,2,21,4
2024-01,12,4,26,11
2024-02,9,4,26,12
2024-03,7,3,15,4
