date,compound,neg,neu,pos
2015-04,64,9,70,4
2015-05,21,2,25,0
2015-06,9,3,5,1
2015-07,9,1,8,2
2015-08,5,0,3,0
2015-09,3,0,10,1
2015-10,3,1,3,1
2015-11,3,0,1,1
2015-12,2,1,2,2
2016-01,3,1,5,2
2016-02,5,0,3,1
2016-03,4,1,4,1
2016-04,1,1,9,0
2016-05,4,0,5,0
2016-06,3,1,9,0
2016-07,3,2,4,0
2016-08,3,0,7,0
2016-09,2,1,2,0
2016-10,4,0,3,1
2016-11,1,0,3,1
2016-12,1,2,2,1
2017-01,3,1,1,0
2017-02,1,0,3,0
2017-03,2,0,2,0
2017-04,1,0,3,1
2017-05,1,0,7,1
2017-06,4,1,3,0
2017-07,1,4,6,0
2017-08,4,0,0,1
2017-09,1,0,2,1
2017-10,0,0,2,2
2017-11,5,1,4,0
2017-12,3,1,1,0
2018-01,1,1,3,1
2018-02,1,0,2,0
2018-03,0,0,1,2
2018-04,2,1,4,1
2018-05,2,0,3,0
2018-06,3,1,6,1
2018-07,0,0,2,1
2018-08,3,0,1,2
2018-09,2,0,3,0
2018-10,2,0,1,0
2018-11,4,0,1,0
2018-12,1,2,0,1
2019-01,2,1,1,0
2019-02,2,0,1,0
2019-03,0,2,1,0
2019-04,0,0,1,0
2019-05,2,0,2,0
2019-06,2,0,2,0
2019-07,1,0,6,0
2019-08,0,0,2,1
2019-09,1,1,3,0
2019-10,1,1,4,0
2019-11,1,0,2,0
2019-12,0,0,1,1
2020-01,2,1,1,1
2020-02,0,0,2,0
2020-03,1,0,4,0
2020-04,4,1,4,2
2020-05,0,1,3,2
2020-06,2,1,6,0
2020-07,0,0,3,2
2020-08,2,0,1,1
2020-09,2,0,1,1
2020-10,4,0,3,0
2020-11,2,0,1,1
2020-12,2,0,1,0
2021-01,0,0,6,0
2021-02,2,1,2,0
2021-03,1,0,1,2
2021-04,3,1,3,2
2021-05,1,1,7,0
2021-06,1,0,3,1
2021-07,1,0,2,1
2021-08,0,0,4,0
2021-09,3,0,1,0
2021-10,0,0,1,3
2021-11,0,1,4,3
2021-12,3,1,1,0
2022-01,2,0,4,0
2022-02,1,0,1,1
2022-03,0,0,4,0
2022-04,0,1,6,2
2022-05,0,0,2,0
2022-06,0,1,5,0
2022-07,1,0,1,0
2022-08,0,0,1,0
2022-09,2,0,1,0
2022-10,0,0,3,1
2022-11,1,0,5,0
2022-12,1,0,3,0
2023-01,0,0,2,0
2023-02,2,1,2,1
2023-03,2,1,0,2
2023-04,0,1,2,0
2023-05,0,0,2,0
2023-06,2,1,1,3
2023-07,0,0,2,0
2023-08,1,1,6,0
2023-09,2,0,3,0
2023-10,1,0,1,1
2023-11,2,0,2,0
2023-12,3,0,1,0
2024-01,3,0,5,2
2024-02,0,0,1,1
2024-03,2,0,6,1
2024-04,0,0,1,0
