date,compound,neg,neu,pos
2012-04,58,1,34,6
2012-05,44,3,24,6
2012-06,14,2,21,0
2012-07,263,8,278,31
2012-08,67,1,62,10
2012-09,81,3,75,18
2012-10,64,4,75,10
2012-11,263,8,286,20
2012-12,306,12,285,30
2013-01,253,7,209,24
2013-02,82,10,89,11
2013-03,57,5,52,4
2013-04,113,7,90,7
2013-05,49,1,63,7
2013-06,147,19,165,13
2013-07,361,16,387,57
2013-08,120,4,118,9
2013-09,133,5,127,15
2013-10,88,7,86,10
2013-11,328,6,301,42
2013-12,704,25,542,108
2014-01,350,11,281,50
2014-02,142,9,168,24
2014-03,176,10,170,28
2014-04,72,5,86,14
2014-05,104,7,104,16
2014-06,310,15,288,60
2014-07,170,9,166,19
2014-08,164,9,164,21
2014-09,174,6,168,18
2014-10,96,3,94,16
2014-11,158,10,133,15
2014-12,185,11,199,20
2015-01,168,14,162,10
2015-02,121,7,142,8
2015-03,82,7,68,8
2015-04,62,5,67,9
2015-05,52,2,43,11
2015-06,99,8,114,17
2015-07,65,3,76,6
2015-08,57,2,64,9
2015-09,43,4,41,11
2015-10,116,7,154,21
2015-11,86,5,90,8
2015-12,112,9,98,13
2016-01,92,7,129,9
2016-02,74,2,80,9
2016-03,46,2,54,8
2016-04,80,9,90,9
2016-05,63,3,62,10
2016-06,69,5,78,12
2016-07,95,2,88,14
2016-08,50,4,70,3
2016-09,41,3,37,5
2016-10,46,0,37,10
2016-11,474,56,591,93
2016-12,151,9,153,35
2017-01,144,18,144,25
2017-02,50,3,35,5
2017-03,43,3,45,5
2017-04,60,3,55,6
2017-05,38,0,32,8
2017-06,80,4,80,11
2017-07,93,7,97,12
2017-08,65,7,56,9
2017-09,332,35,329,131
2017-10,116,4,131,35
2017-11,253,26,295,97
2017-12,89,3,118,26
2018-01,77,5,80,24
2018-02,67,2,66,18
2018-03,54,2,55,19
2018-04,40,2,35,4
2018-05,47,3,48,11
2018-06,76,6,62,18
2018-07,54,6,67,14
2018-08,68,4,50,10
2018-09,38,2,53,11
2018-10,31,3,33,6
2018-11,61,6,80,31
2018-12,26,1,25,12
2019-01,29,3,24,7
2019-02,26,1,20,8
2019-03,17,5,19,5
2019-04,28,1,26,7
2019-05,16,1,29,8
2019-06,38,3,48,26
2019-07,34,4,42,32
2019-08,15,0,14,7
2019-09,9,0,19,3
2019-10,6,0,7,3
2019-11,26,5,31,18
2019-12,35,3,23,15
2020-01,33,6,40,13
2020-02,45,5,31,14
2020-03,38,7,66,16
2020-04,79,5,84,44
2020-05,58,8,48,33
2020-06,75,9,95,40
2020-07,156,17,178,82
2020-08,54,11,95,32
2020-09,56,3,60,18
2020-10,56,10,55,18
2020-11,49,13,59,27
2020-12,52,6,88,16
2021-01,62,11,61,25
2021-02,53,5,49,23
2021-03,43,11,55,33
2021-04,36,9,62,29
2021-05,60,7,70,31
2021-06,38,6,47,16
2021-07,42,11,59,21
2021-08,46,12,51,18
2021-09,50,9,64,26
2021-10,28,4,53,15
2021-11,52,6,46,21
2021-12,43,7,62,27
2022-01,43,14,86,39
2022-02,32,18,52,27
2022-03,41,8,36,19
2022-04,44,5,62,16
2022-05,37,12,59,17
2022-06,38,8,53,13
2022-07,55,11,72,13
2022-08,38,9,63,29
2022-09,27,7,29,20
2022-10,39,6,63,24
2022-11,47,8,65,20
2022-12,61,14,75,30
2023-01,75,12,117,52
2023-02,34,8,47,21
2023-03,41,7,56,22
2023-04,27,4,55,20
2023-05,34,3,45,20
2023-06,37,10,64,28
2023-07,75,16,118,34
2023-08,130,22,151,56
2023-09,39,10,70,15
2023-10,49,5,74,21
2023-11,39,12,81,20
2023-12,66,8,95,21
2024-01,68,12,102,20
2024-02,44,5,44,22
2024-03,30,6,55,16
