date,compound,neg,neu,pos
2012-09,17,0,18,3
2012-10,34,0,17,3
2012-11,27,1,29,6
2012-12,102,3,90,26
2013-01,58,1,59,10
2013-02,25,1,23,7
2013-03,25,0,19,7
2013-04,22,0,23,6
2013-05,28,0,23,4
2013-06,21,1,18,6
2013-07,111,3,72,16
2013-08,44,0,34,6
2013-09,29,3,27,9
2013-10,24,0,11,6
2013-11,66,2,34,6
2013-12,398,10,214,87
2014-01,175,5,88,40
2014-02,89,2,45,20
2014-03,85,1,42,14
2014-04,59,4,45,7
2014-05,56,4,49,9
2014-06,910,31,539,217
2014-07,280,5,201,53
2014-08,117,6,88,22
2014-09,90,2,66,18
2014-10,73,4,45,21
2014-11,132,5,121,35
2014-12,672,25,472,153
2015-01,271,9,190,53
2015-02,160,5,103,41
2015-03,117,1,82,19
2015-04,111,3,70,23
2015-05,107,3,81,10
2015-06,583,28,456,153
2015-07,192,5,149,35
2015-08,119,8,75,27
2015-09,98,6,78,22
2015-10,113,6,93,31
2015-11,149,5,109,42
2015-12,184,7,137,52
2016-01,185,8,120,45
2016-02,90,4,77,30
2016-03,75,5,61,30
2016-04,67,5,48,7
2016-05,71,1,53,16
2016-06,150,4,90,34
2016-07,152,8,81,29
2016-08,78,1,58,18
2016-09,65,5,33,9
2016-10,59,4,41,17
2016-11,329,10,221,84
2016-12,174,8,114,57
2017-01,155,7,91,29
2017-02,76,4,51,26
2017-03,75,4,37,17
2017-04,55,4,43,21
2017-05,54,2,49,13
2017-06,187,5,103,53
2017-07,178,7,98,57
2017-08,74,4,58,12
2017-09,65,1,51,13
2017-10,78,1,53,22
2017-11,232,12,170,85
2017-12,147,7,97,42
2018-01,116,6,81,27
2018-02,56,3,46,22
2018-03,60,3,58,20
2018-04,56,3,46,12
2018-05,202,13,177,85
2018-06,126,5,76,35
2018-07,80,1,71,29
2018-08,50,2,32,16
2018-09,32,3,31,8
2018-10,34,1,25,10
2018-11,232,7,117,75
2018-12,85,2,62,30
2019-01,80,3,46,20
2019-02,52,2,33,17
2019-03,42,1,29,15
2019-04,37,3,32,12
2019-05,44,3,32,13
2019-06,242,13,195,133
2019-07,277,23,237,140
2019-08,49,4,45,13
2019-09,47,2,35,19
2019-10,61,4,49,25
2019-11,286,14,254,188
2019-12,208,16,239,176
2020-01,178,7,187,117
2020-02,113,7,107,85
2020-03,182,12,209,150
2020-04,199,10,200,142
2020-05,111,5,116,100
2020-06,136,10,157,102
2020-07,206,18,275,168
2020-08,107,9,140,86
2020-09,122,6,122,64
2020-10,109,13,113,71
2020-11,271,18,316,191
2020-12,256,14,295,195
2021-01,207,26,281,157
2021-02,171,15,234,122
2021-03,192,19,251,140
2021-04,154,15,235,127
2021-05,131,15,215,93
2021-06,168,24,265,144
2021-07,222,27,365,201
2021-08,134,19,189,104
2021-09,72,8,131,77
2021-10,93,10,139,65
2021-11,147,10,189,103
2021-12,132,11,227,112
2022-01,150,27,267,125
2022-02,127,13,195,105
2022-03,194,31,281,164
2022-04,78,12,156,93
2022-05,109,12,169,86
2022-06,112,14,193,105
2022-07,150,20,219,107
2022-08,84,17,159,61
2022-09,70,11,138,54
2022-10,53,5,127,46
2022-11,99,16,165,85
2022-12,123,19,231,96
2023-01,137,20,198,76
2023-02,78,9,123,42
2023-03,91,11,172,52
2023-04,71,11,126,43
2023-05,84,2,120,52
2023-06,87,18,141,52
2023-07,233,39,464,177
2023-08,84,7,187,74
2023-09,130,20,269,85
2023-10,77,7,149,62
2023-11,141,16,264,114
2023-12,120,15,223,87
2024-01,105,13,173,81
2024-02,95,14,171,66
2024-03,73,7,132,49
