date,compound,neg,neu,pos
2016-10,285,13,312,33
2016-11,116,15,154,21
2016-12,48,7,50,12
2017-01,26,1,28,5
2017-02,22,3,18,4
2017-03,26,3,28,5
2017-04,23,3,21,5
2017-05,23,2,27,6
2017-06,30,4,28,8
2017-07,30,0,29,6
2017-08,23,1,18,7
2017-09,25,4,21,7
2017-10,27,2,26,2
2017-11,31,2,26,13
2017-12,18,3,31,8
2018-01,19,3,21,3
2018-02,33,1,23,7
2018-03,14,2,21,3
2018-04,11,2,16,2
2018-05,12,2,19,2
2018-06,17,4,13,5
2018-07,19,1,20,2
2018-08,11,1,10,2
2018-09,8,1,13,3
2018-10,12,3,12,2
2018-11,29,0,21,7
2018-12,23,2,21,5
2019-01,13,1,15,1
2019-02,33,2,13,3
2019-03,22,2,22,4
2019-04,20,1,17,6
2019-05,24,1,17,7
2019-06,28,2,24,12
2019-07,40,0,36,14
2019-08,18,1,25,4
2019-09,11,0,15,2
2019-10,19,0,14,5
2019-11,53,1,53,30
2019-12,41,1,35,14
2020-01,50,2,43,11
2020-02,42,3,29,18
2020-03,46,2,42,17
2020-04,57,1,43,23
2020-05,54,4,26,15
2020-06,36,3,36,17
2020-07,48,1,38,13
2020-08,43,2,27,13
2020-09,31,3,40,8
2020-10,31,0,23,14
2020-11,36,3,24,19
2020-12,19,0,27,15
2021-01,23,2,27,11
2021-02,28,1,32,7
2021-03,29,1,38,7
2021-04,20,1,26,6
2021-05,24,4,24,9
2021-06,26,3,25,12
2021-07,29,0,16,13
2021-08,36,2,17,9
2021-09,35,0,17,9
2021-10,18,2,30,6
2021-11,24,1,11,8
2021-12,20,0,16,9
2022-01,20,0,30,12
2022-02,23,1,18,4
2022-03,15,2,16,8
2022-04,11,0,11,6
2022-05,15,1,20,10
2022-06,13,2,15,7
2022-07,19,0,24,3
2022-08,21,2,18,7
2022-09,28,0,18,5
2022-10,20,2,35,10
2022-11,67,2,72,26
2022-12,26,2,28,8
2023-01,31,1,23,6
2023-02,16,0,17,4
2023-03,11,0,10,4
2023-04,14,0,12,5
2023-05,9,1,22,3
2023-06,16,1,14,4
2023-07,13,1,17,5
2023-08,21,3,16,5
2023-09,19,0,13,4
2023-10,18,1,16,8
2023-11,24,1,17,7
2023-12,15,2,9,3
2024-01,19,1,16,6
2024-02,10,0,16,6
2024-03,18,0,18,2
2024-04,0,0,4,0
