date,compound,neg,neu,pos
2015-01,46,0,14,1
2015-02,28,0,6,0
2015-03,5,0,8,0
2015-04,8,1,12,0
2015-05,10,0,3,0
2015-06,8,0,15,1
2015-07,7,0,6,0
2015-08,3,1,5,0
2015-09,4,1,8,0
2015-10,9,0,3,0
2015-11,3,1,5,0
2015-12,6,0,2,1
2016-01,5,0,1,0
2016-02,48,0,11,1
2016-03,22,0,7,0
2016-04,8,1,5,0
2016-05,24,0,21,0
2016-06,6,0,3,0
2016-07,8,1,6,0
2016-08,8,0,8,0
2016-09,5,0,3,0
2016-10,2,0,3,0
2016-11,3,0,2,0
2016-12,2,0,2,0
2017-01,2,1,0,0
2017-02,0,0,3,0
2017-03,5,0,4,0
2017-04,3,0,5,0
2017-05,3,0,2,0
2017-06,1,1,3,0
2017-07,3,0,2,0
2017-08,4,0,4,0
2017-09,0,0,1,1
2017-10,2,0,2,0
2017-11,2,0,2,0
2017-12,2,0,3,0
2018-01,0,0,2,1
2018-02,3,0,1,0
2018-03,3,0,3,0
2018-04,3,0,1,0
2018-05,2,0,1,0
2018-06,0,1,3,0
2018-07,3,0,2,0
2018-08,1,0,0,0
2018-09,2,0,2,0
2018-10,2,0,3,0
2018-11,0,0,3,0
2018-12,1,0,1,1
2019-01,0,0,3,0
2019-02,0,0,3,0
2019-03,1,0,1,0
2019-04,0,0,2,1
2019-05,1,0,0,0
2019-06,3,0,1,0
2019-07,0,0,2,0
2019-08,1,0,3,0
2019-10,3,0,3,2
2019-11,9,0,5,1
2019-12,8,0,3,0
2020-01,5,0,2,2
2020-02,1,0,6,0
2020-03,5,0,0,2
2020-04,4,0,1,3
2020-05,3,0,3,3
2020-06,4,0,2,0
2020-07,0,0,4,0
2020-08,1,0,3,1
2020-09,0,0,4,2
2020-10,3,0,6,0
2020-11,0,0,3,0
2020-12,3,0,3,2
2021-01,1,0,3,0
2021-02,3,0,5,0
2021-03,1,0,2,0
2021-04,4,0,2,0
2021-05,2,0,0,0
2021-07,0,0,1,0
2021-08,0,0,0,1
2021-09,2,0,1,0
2021-10,1,0,2,1
2021-11,0,0,2,0
2021-12,1,0,0,0
2022-01,0,0,1,0
2022-02,4,0,1,0
2022-03,1,0,0,0
2022-04,1,0,1,1
2022-05,2,0,1,0
2022-06,1,0,0,2
2022-07,1,0,1,0
2022-08,0,0,1,0
2022-09,2,0,0,0
2022-10,0,0,4,0
2022-11,2,0,0,0
2023-01,1,0,0,1
2023-02,2,0,1,0
2023-03,2,0,1,1
2023-04,0,0,1,2
2023-05,1,0,3,0
2023-06,1,0,0,0
2023-07,0,0,1,0
2023-08,0,0,1,0
2023-09,1,0,0,0
2023-10,0,0,1,0
2023-11,1,0,1,0
2023-12,1,0,0,0
2024-01,0,0,1,0
2024-03,0,0,1,0
