date,compound,neg,neu,pos
2012-11,23,1,24,4
2012-12,67,3,72,7
2013-01,40,3,40,4
2013-02,41,2,42,10
2013-03,93,6,100,13
2013-04,156,7,166,38
2013-05,197,6,184,48
2013-06,121,8,112,24
2013-07,158,11,168,42
2013-08,60,5,77,18
2013-09,43,1,73,9
2013-10,56,2,59,13
2013-11,139,6,124,27
2013-12,429,20,369,91
2014-01,304,14,228,50
2014-02,290,9,260,58
2014-03,146,8,122,29
2014-04,285,16,216,55
2014-05,227,10,160,32
2014-06,869,63,854,206
2014-07,268,17,241,51
2014-08,155,10,162,25
2014-09,142,9,121,22
2014-10,453,32,515,135
2014-11,389,26,378,90
2014-12,570,43,610,144
2015-01,379,23,358,81
2015-02,160,24,186,37
2015-03,152,5,132,28
2015-04,183,11,205,37
2015-05,154,6,144,23
2015-06,209,18,272,49
2015-07,113,9,89,22
2015-08,112,7,97,16
2015-09,66,4,61,16
2015-10,83,7,62,13
2015-11,148,9,146,43
2015-12,247,24,237,76
2016-01,187,15,210,60
2016-02,126,10,140,37
2016-03,84,11,94,23
2016-04,105,8,125,32
2016-05,71,7,103,17
2016-06,92,6,103,22
2016-07,101,6,121,18
2016-08,75,4,50,18
2016-09,53,4,56,13
2016-10,65,2,66,13
2016-11,450,49,506,158
2016-12,107,3,107,30
2017-01,85,3,98,19
2017-02,47,6,60,15
2017-03,53,2,56,19
2017-04,44,2,46,13
2017-05,66,1,43,19
2017-06,111,7,92,41
2017-07,89,8,86,29
2017-08,39,7,58,13
2017-09,48,5,47,20
2017-10,58,2,54,17
2017-11,250,17,227,97
2017-12,65,4,77,24
2018-01,75,5,59,21
2018-02,38,6,43,11
2018-03,35,1,37,14
2018-04,25,1,34,8
2018-05,48,0,38,20
2018-06,54,2,71,25
2018-07,56,4,44,18
2018-08,29,2,33,10
2018-09,24,2,22,3
2018-10,34,2,28,9
2018-11,290,16,266,110
2018-12,49,1,64,11
2019-01,41,6,43,12
2019-02,31,4,42,17
2019-03,26,2,32,10
2019-04,25,2,25,9
2019-05,50,1,43,21
2019-06,188,15,144,76
2019-07,185,13,156,97
2019-08,23,2,31,7
2019-09,17,1,14,10
2019-10,33,2,37,15
2019-11,240,15,242,146
2019-12,222,22,230,133
2020-01,156,13,157,77
2020-02,115,6,123,80
2020-03,153,11,142,108
2020-04,148,7,153,104
2020-05,128,7,112,66
2020-06,140,8,154,90
2020-07,139,13,147,78
2020-08,93,13,91,55
2020-09,87,11,97,69
2020-10,127,9,118,70
2020-11,131,16,142,88
2020-12,125,11,135,78
2021-01,110,15,152,69
2021-02,61,9,114,60
2021-03,67,8,71,38
2021-04,70,6,90,36
2021-05,71,14,117,51
2021-06,70,17,114,57
2021-07,64,12,93,53
2021-08,52,7,67,40
2021-09,50,2,49,42
2021-10,39,6,56,22
2021-11,72,19,113,60
2021-12,82,8,115,57
2022-01,63,14,100,56
2022-02,49,9,72,29
2022-03,36,5,35,26
2022-04,52,10,50,29
2022-05,38,6,49,35
2022-06,53,17,71,41
2022-07,39,10,65,26
2022-08,45,14,69,37
2022-09,22,8,43,25
2022-10,32,3,34,19
2022-11,36,8,56,31
2022-12,47,11,57,24
2023-01,43,14,82,36
2023-02,36,8,45,25
2023-03,47,9,67,31
2023-04,38,12,59,26
2023-05,47,5,77,27
2023-06,58,12,89,49
2023-07,62,10,87,26
2023-08,39,8,62,21
2023-09,31,5,48,12
2023-10,56,4,56,27
2023-11,39,5,50,26
2023-12,37,12,54,20
2024-01,32,6,54,26
2024-02,26,8,55,16
2024-03,22,6,29,19
