date,compound,neg,neu,pos
2012-02,3,3,8,0
2012-03,15,2,18,1
2012-04,9,0,12,2
2012-05,3,0,5,1
2012-06,5,0,8,1
2012-07,6,0,20,3
2012-08,3,1,7,2
2012-09,4,1,11,1
2012-10,3,1,5,3
2012-11,2,0,5,2
2012-12,4,1,10,4
2013-01,5,0,7,2
2013-02,2,0,5,4
2013-03,3,6,6,1
2013-04,4,1,4,0
2013-05,6,0,8,2
2013-06,4,0,4,2
2013-07,3,1,10,1
2013-08,3,0,5,1
2013-09,3,0,4,0
2013-10,3,0,11,4
2013-11,10,4,14,8
2013-12,61,17,116,30
2014-01,43,15,79,15
2014-02,49,10,81,18
2014-03,34,4,38,13
2014-04,18,2,31,7
2014-05,9,2,25,7
2014-06,41,7,79,21
2014-07,11,3,28,7
2014-08,19,4,45,11
2014-09,178,2,87,13
2014-10,17,1,22,7
2014-11,16,2,30,3
2014-12,17,2,30,5
2015-01,14,3,34,2
2015-02,15,2,18,5
2015-03,24,4,34,8
2015-04,11,1,20,5
2015-05,13,0,20,3
2015-06,70,2,58,8
2015-07,19,4,16,2
2015-08,7,2,16,0
2015-09,12,2,17,2
2015-10,27,5,46,7
2015-11,9,3,21,2
2015-12,5,3,23,6
2016-01,15,6,23,8
2016-02,35,5,67,10
2016-03,6,3,13,6
2016-04,10,4,27,5
2016-05,6,1,11,2
2016-06,10,2,14,1
2016-07,6,0,15,1
2016-08,4,2,17,0
2016-09,9,2,17,3
2016-10,2,3,14,4
2016-11,7,1,21,2
2016-12,5,0,11,5
2017-01,3,0,17,0
2017-02,4,1,10,3
2017-03,2,2,8,5
2017-04,6,0,5,0
2017-05,6,0,6,2
2017-06,4,3,9,4
2017-07,5,1,9,5
2017-08,5,1,19,1
2017-09,6,2,8,1
2017-10,4,1,6,0
2017-11,9,0,12,1
2017-12,5,0,9,1
2018-01,3,0,11,0
2018-02,3,0,6,2
2018-03,2,0,4,2
2018-04,3,1,3,2
2018-05,2,1,4,0
2018-06,1,0,7,1
2018-07,2,0,6,2
2018-08,2,0,4,0
2018-09,4,1,10,1
2018-10,4,2,12,0
2018-11,7,1,6,1
2018-12,2,0,5,3
2019-01,4,0,5,0
2019-02,3,0,5,1
2019-03,2,0,5,1
2019-04,2,1,2,1
2019-05,3,0,2,1
2019-06,9,0,15,4
2019-07,7,2,8,5
2019-08,2,0,12,0
2019-09,2,2,4,0
2019-10,3,0,3,6
2019-11,11,4,22,6
2019-12,6,1,14,4
2020-01,6,0,8,1
2020-02,6,0,11,5
2020-03,5,0,7,3
2020-04,2,1,13,5
2020-05,4,1,17,2
2020-06,4,0,7,2
2020-07,3,1,9,4
2020-08,6,2,6,3
2020-09,7,3,8,4
2020-10,8,1,17,2
2020-11,1,2,12,8
2020-12,3,1,11,3
2021-01,3,0,11,2
2021-02,7,1,6,1
2021-03,3,0,9,2
2021-04,4,2,8,0
2021-05,5,0,4,5
2021-06,2,0,7,0
2021-07,1,0,7,2
2021-08,1,0,7,2
2021-09,5,0,9,1
2021-10,1,0,9,2
2021-11,2,0,8,1
2021-12,2,0,6,2
2022-01,2,0,4,0
2022-02,4,1,3,4
2022-03,3,0,8,1
2022-04,2,0,6,2
2022-05,2,0,2,1
2022-06,0,3,8,4
2022-07,3,0,4,5
2022-08,4,2,6,2
2022-09,1,1,9,2
2022-10,1,0,7,2
2022-11,3,0,8,0
2022-12,2,1,3,2
2023-01,1,1,4,0
2023-02,0,0,7,0
2023-03,4,0,8,1
2023-04,3,1,4,1
2023-05,3,0,4,0
2023-06,2,0,3,2
2023-07,0,0,7,1
2023-08,4,0,7,0
2023-09,0,0,6,1
2023-10,0,1,3,0
2023-11,2,1,10,1
2023-12,2,0,8,6
2024-01,2,0,11,1
2024-02,2,1,9,1
2024-03,1,0,1,1
