date,compound,neg,neu,pos
2014-11,3,0,6,0
2014-12,3,0,7,0
2015-01,4,0,5,1
2015-02,0,0,3,3
2015-03,5,0,3,1
2015-04,8,0,8,0
2015-05,6,1,8,1
2015-06,3,0,5,0
2015-07,4,0,7,0
2015-08,1,0,4,0
2015-09,6,0,3,0
2015-10,3,0,1,1
2015-11,6,1,4,2
2015-12,8,1,7,2
2016-01,6,0,15,0
2016-02,6,1,12,0
2016-03,6,0,14,3
2016-04,8,0,11,3
2016-05,9,0,8,0
2016-06,12,1,15,0
2016-07,4,0,11,3
2016-08,8,0,5,1
2016-09,8,0,8,2
2016-10,8,0,8,2
2016-11,12,2,16,3
2016-12,12,0,10,1
2017-01,9,1,10,6
2017-02,5,0,13,2
2017-03,11,1,5,1
2017-04,6,0,13,3
2017-05,7,0,10,1
2017-06,3,0,8,2
2017-07,8,1,12,1
2017-08,9,0,4,2
2017-09,8,0,7,2
2017-10,3,0,9,1
2017-11,15,1,15,4
2017-12,9,0,14,7
2018-01,13,2,13,9
2018-02,10,0,11,4
2018-03,11,1,11,2
2018-04,7,1,8,3
2018-05,4,2,6,1
2018-06,6,0,11,0
2018-07,3,0,10,0
2018-08,2,0,8,3
2018-09,4,0,11,3
2018-10,5,0,15,2
2018-11,10,0,10,3
2018-12,9,3,11,1
2019-01,5,0,7,0
2019-02,2,1,6,3
2019-03,14,3,9,3
2019-04,7,1,4,0
2019-05,1,0,7,1
2019-06,9,1,4,2
2019-07,11,1,7,4
2019-08,3,1,7,1
2019-09,2,1,7,1
2019-10,5,1,8,4
2019-11,76,7,78,46
2019-12,45,6,68,44
2020-01,45,3,36,36
2020-02,14,5,35,26
2020-03,32,2,44,34
2020-04,27,1,45,29
2020-05,30,0,30,31
2020-06,26,2,42,25
2020-07,33,1,44,26
2020-08,22,1,35,27
2020-09,25,1,25,20
2020-10,33,3,40,23
2020-11,24,2,54,20
2020-12,43,5,72,36
2021-01,60,1,109,48
2021-02,33,0,48,32
2021-03,30,2,56,31
2021-04,28,1,47,28
2021-05,19,2,59,26
2021-06,26,3,34,25
2021-07,35,2,53,31
2021-08,25,2,52,25
2021-09,29,1,39,24
2021-10,25,5,49,22
2021-11,34,3,64,32
2021-12,24,7,64,33
2022-01,39,5,77,42
2022-02,34,1,45,32
2022-03,23,4,53,25
2022-04,34,4,64,36
2022-05,24,2,61,22
2022-06,45,6,78,31
2022-07,31,2,63,23
2022-08,29,3,48,31
2022-09,17,2,31,21
2022-10,20,3,45,23
2022-11,22,4,44,31
2022-12,32,4,34,30
2023-01,33,3,39,22
2023-02,19,0,21,27
2023-03,19,2,39,11
2023-04,21,2,42,10
2023-05,21,2,52,23
2023-06,27,2,35,18
2023-07,29,2,56,29
2023-08,24,4,37,24
2023-09,21,3,27,18
2023-10,32,1,51,23
2023-11,21,0,47,30
2023-12,20,1,43,30
2024-01,24,4,45,18
2024-02,20,1,35,15
2024-03,19,2,33,16
2024-04,7,0,7,3
