date,compound,neg,neu,pos
2012-09,404,13,466,48
2012-10,157,10,179,27
2012-11,73,6,82,9
2012-12,274,11,317,50
2013-01,223,14,289,32
2013-02,99,5,111,10
2013-03,81,5,122,21
2013-04,62,5,87,9
2013-05,67,8,68,13
2013-06,104,5,133,20
2013-07,375,25,467,64
2013-08,106,4,113,20
2013-09,124,9,154,20
2013-10,109,5,100,15
2013-11,248,10,193,27
2013-12,874,23,778,146
2014-01,410,11,402,67
2014-02,244,8,262,31
2014-03,243,10,295,43
2014-04,851,50,837,153
2014-05,240,7,260,50
2014-06,929,36,1050,164
2014-07,319,17,329,40
2014-08,218,9,236,33
2014-09,164,5,186,19
2014-10,171,13,173,23
2014-11,195,6,197,18
2014-12,315,18,374,35
2015-01,271,17,328,41
2015-02,135,6,161,27
2015-03,163,3,190,31
2015-04,163,8,210,23
2015-05,121,3,147,22
2015-06,221,11,297,34
2015-07,93,4,159,20
2015-08,95,7,120,13
2015-09,79,5,97,13
2015-10,93,7,140,11
2015-11,108,7,155,15
2015-12,195,7,249,25
2016-01,191,8,199,22
2016-02,105,9,158,25
2016-03,102,8,97,18
2016-04,70,6,98,13
2016-05,89,7,98,18
2016-06,152,5,173,18
2016-07,129,10,136,28
2016-08,85,4,115,17
2016-09,82,4,95,14
2016-10,63,4,83,11
2016-11,819,30,891,148
2016-12,125,6,168,19
2017-01,126,3,145,18
2017-02,82,3,88,12
2017-03,120,7,144,24
2017-04,74,2,78,16
2017-05,84,5,78,20
2017-06,205,7,174,51
2017-07,146,5,168,30
2017-08,70,3,83,10
2017-09,61,3,78,16
2017-10,79,5,77,17
2017-11,373,7,408,94
2017-12,104,2,119,30
2018-01,121,6,131,23
2018-02,83,3,82,26
2018-03,99,6,95,18
2018-04,66,3,69,13
2018-05,71,4,67,18
2018-06,67,6,76,12
2018-07,70,4,80,14
2018-08,39,1,67,11
2018-09,46,3,60,12
2018-10,49,6,68,16
2018-11,261,10,267,94
2018-12,70,2,97,17
2019-01,51,5,81,16
2019-02,48,4,59,13
2019-03,43,4,47,7
2019-04,33,0,51,11
2019-05,45,4,42,7
2019-06,291,11,285,127
2019-07,321,13,392,145
2019-08,45,4,58,15
2019-09,36,2,37,17
2019-10,54,2,77,21
2019-11,294,24,318,135
2019-12,276,21,284,153
2020-01,256,21,285,121
2020-02,207,17,221,93
2020-03,204,18,194,103
2020-04,199,8,222,106
2020-05,152,11,222,81
2020-06,165,11,176,87
2020-07,202,22,226,87
2020-08,142,13,154,57
2020-09,120,12,169,74
2020-10,140,4,147,65
2020-11,129,6,178,72
2020-12,161,9,179,73
2021-01,134,8,167,72
2021-02,121,10,154,70
2021-03,121,16,138,51
2021-04,99,6,125,43
2021-05,105,11,126,54
2021-06,107,16,187,64
2021-07,153,14,199,88
2021-08,115,6,159,58
2021-09,97,15,125,53
2021-10,98,13,127,63
2021-11,113,10,136,63
2021-12,112,17,144,56
2022-01,110,9,168,72
2022-02,76,14,117,45
2022-03,90,7,99,48
2022-04,68,8,127,47
2022-05,92,7,137,51
2022-06,110,4,114,51
2022-07,99,11,165,55
2022-08,84,11,128,37
2022-09,74,19,120,43
2022-10,54,11,95,28
2022-11,89,7,120,47
2022-12,87,10,127,45
2023-01,81,8,134,31
2023-02,68,6,101,25
2023-03,84,6,107,35
2023-04,88,5,93,21
2023-05,53,5,94,26
2023-06,59,1,114,32
2023-07,71,8,131,43
2023-08,72,8,124,42
2023-09,51,7,109,32
2023-10,73,10,102,32
2023-11,72,8,117,37
2023-12,104,9,147,50
2024-01,79,10,139,51
2024-02,75,3,126,42
2024-03,50,4,68,30
