appid,review,detail,review_num,review_response_num
374320,1,1,77499,0
374510,1,1,42,2
375010,1,1,307,0
375040,1,1,85,0
375170,1,1,40,0
375200,1,1,1075,0
375320,1,1,315,1
375530,1,1,3800,263
375910,1,1,5627,21
376210,1,1,22800,0
376560,1,1,134,0
377140,1,1,636,0
377470,1,1,164,0
377680,1,1,1442,0
377690,1,1,249,0
378390,1,1,7,0
378610,1,1,6508,6
378750,1,1,152,0
378830,1,1,55,0
380650,1,1,3,0
380950,1,1,24,0
381170,1,1,82,2
381260,1,1,196,2
381750,1,1,242,0
382080,1,1,431,5
382380,1,1,180,0
383240,1,1,29,4
383670,1,1,37,0
383690,1,1,192,0
383840,1,1,2002,133
384120,1,1,54,0
384200,1,1,133,3
384570,1,1,992,0
384990,1,1,94,0
385030,1,1,61,3
385360,1,1,124,0
385840,1,1,25,0
385850,1,1,11,0
385900,1,1,57,0
386180,1,1,59379,1906
386510,1,1,161,0
387010,1,1,193,2
387930,1,1,448,0
388210,1,1,4143,0
388490,1,1,325,0
388660,1,1,65,1
388720,1,1,51,0
389190,1,1,82,2
390870,1,1,108,0
391220,1,1,11700,0
391910,1,1,26,0
392030,1,1,111,0
392260,1,1,245,0
392930,1,1,68,0
393540,1,1,7,0
393930,1,1,433,0
394290,1,1,109,0
394550,1,1,119,0
394700,1,1,361,0
394720,1,1,25,0
395270,1,1,380,3
395930,1,1,110,0
396090,1,1,252,0
396320,1,1,56,2
396640,1,1,371,1
396800,1,1,529,0
396860,1,1,202,1
396930,1,1,20,0
397100,1,1,887,0
397440,1,1,80,0
397660,1,1,20,0
397740,1,1,4610,0
397760,1,1,81,0
397800,1,1,31,0
398100,1,1,577,3
398110,1,1,24,0
398150,1,1,89,0
398900,1,1,1,0
398920,1,1,49,0
399140,1,1,64,1
399820,1,1,2714,17
399900,1,1,32,0
400370,1,1,390,0
400470,1,1,131,2
400630,1,1,4200,23
400880,1,1,37,0
400910,1,1,795,0
401330,1,1,72,0
401820,1,1,134,0
402150,1,1,51,0
402390,1,1,356,0
402620,1,1,1251,0
402750,1,1,518,0
403090,1,1,48,0
403100,1,1,60,0
403120,1,1,2313,0
403190,1,1,9271,437
403230,1,1,25,0
403460,1,1,24,0
404040,1,1,447,0
404050,1,1,168,1
404640,1,1,247,13
